"Estimate","Std. Error","z value","Pr(>|z|)","study","N","name"
1.46991930518844,0.306924420541301,4.78918980313149,1.67456036239406e-06,"COAD",1,"X1706"
1.4523764690027,0.317091418097063,4.58030834678133,4.64290906497694e-06,"COAD",1,"X6599"
1.33607206980316,0.294929074568079,4.53014702521218,5.89426537251768e-06,"COAD",1,"X3401"
1.24683526171108,0.276927465455098,4.50238931578004,6.71937506221755e-06,"COAD",1,"X5981"
1.21214458738196,0.274828314750517,4.41055205131364,1.03107416842953e-05,"COAD",1,"X980"
1.27419213667826,0.294033810066681,4.33348850728868,1.46764945776156e-05,"COAD",1,"X1222"
1.33387135905997,0.309163264495175,4.31445618624196,1.59996259985659e-05,"COAD",1,"X7854"
1.20431609015177,0.280617349210688,4.29166654712985,1.77337118567218e-05,"COAD",1,"X7098"
1.23569972251664,0.290191033728734,4.25822847328823,2.06053298736595e-05,"COAD",1,"X3950"
1.19066591125262,0.279661214449093,4.2575296456397,2.06698257555807e-05,"COAD",1,"X3443"
1.12534412319924,0.265855950959105,4.23290928466879,2.3068757237504e-05,"COAD",1,"X6930"
1.19847593345512,0.284245204931954,4.2163452985672,2.4829348091043e-05,"COAD",1,"X8045"
1.06468444406309,0.252548463030677,4.21576291253754,2.48935184600366e-05,"COAD",1,"X4082"
1.08125752487406,0.257363814557173,4.20128030327223,2.65409731374269e-05,"COAD",1,"X9073"
1.30218667878961,0.311252488519145,4.18369885164633,2.86803988820294e-05,"COAD",1,"X6843"
1.09399815275195,0.262096894310131,4.17402180835252,2.99269090016139e-05,"COAD",1,"X1765"
1.16400153761792,0.279749463370747,4.16087138682119,3.17035599497433e-05,"COAD",1,"X237"
1.10255336763483,0.267810784040704,4.1169117650888,3.83982992987641e-05,"COAD",1,"X2401"
-1.03991699022812,0.252832421131236,-4.11306819582421,3.9043498542472e-05,"COAD",1,"X5144"
1.12416237746007,0.274642921557825,4.09317804763952,4.255007365622e-05,"COAD",1,"X3921"
1.15382103161741,0.28274385922751,4.08079961407399,4.48810356584615e-05,"COAD",1,"X7493"
1.18672349482345,0.291244789389259,4.07466000443135,4.60816212575119e-05,"COAD",1,"X8201"
1.01355688834565,0.248944837357412,4.07141155890083,4.6729104170525e-05,"COAD",1,"X2827"
1.05191262743024,0.25957871066466,4.05238405236232,5.06983514343593e-05,"COAD",1,"X34"
1.15391712101416,0.285510220766819,4.0415965422008,5.30885160847879e-05,"COAD",1,"X2045"
1.10124623969042,0.272981234488122,4.03414630956378,5.48011658707752e-05,"COAD",1,"X9871"
1.01393702637618,0.25154932683533,4.03076819617145,5.55948520153268e-05,"COAD",1,"X5897"
0.96051026738117,0.239121516772982,4.01682910155284,5.89864682594911e-05,"COAD",1,"X6558"
1.03656142378848,0.258384840329695,4.01169597436848,6.02841037035454e-05,"COAD",1,"X114"
1.18146004387722,0.294807433403324,4.00756531217067,6.1347899476703e-05,"COAD",1,"X7617"
0.985878547609731,0.246874464019654,3.99344076158175,6.51213537337396e-05,"COAD",1,"X8993"
1.00769932888197,0.252563122343753,3.98989100043843,6.61036658652171e-05,"COAD",1,"X7588"
1.26095914070969,0.316191129487692,3.98796494624234,6.66425075320089e-05,"COAD",1,"X4240"
0.996612257363386,0.251216148694646,3.9671504500882,7.27370793218942e-05,"COAD",1,"X1523"
1.02791625862912,0.259391114647534,3.96280443154684,7.40744594965329e-05,"COAD",1,"X8282"
1.01879135217341,0.257197854200718,3.96111917550582,7.45992860237405e-05,"COAD",1,"X2084"
1.0838704913078,0.273697232481426,3.96010760313901,7.49159991946936e-05,"COAD",1,"X6926"
-1.06977305484786,0.270319777637222,-3.95743539077459,7.57587694750248e-05,"COAD",1,"X9993"
1.06991467652535,0.270548180530072,3.95461789626202,7.66570646062291e-05,"COAD",1,"X1970"
1.23491847035778,0.312814420844522,3.94776707232297,7.8883496830766e-05,"COAD",1,"X2058"
1.11060502268668,0.281358901193288,3.94728945121846,7.90409758323326e-05,"COAD",1,"X8315"
0.943360420529472,0.239106142447565,3.94536255268452,7.96793271179235e-05,"COAD",1,"X8821"
1.07300796846313,0.272408776209583,3.9389625525045,8.18347004859054e-05,"COAD",1,"X4942"
1.04975447416368,0.266614533221518,3.93734903150043,8.23867313778123e-05,"COAD",1,"X3366"
1.0616508190474,0.270304863024647,3.92760532373624,8.57958523780778e-05,"COAD",1,"X1445"
1.06697167386955,0.271939755646935,3.92355899317206,8.72503878006531e-05,"COAD",1,"X3030"
1.04518545031937,0.266976286678184,3.91489994607367,9.04417047018104e-05,"COAD",1,"X1719"
1.12701651224136,0.28807315097701,3.91225807896029,9.14371189019507e-05,"COAD",1,"X5973"
