"","Estimate","Std. Error","Pr(>|z|)"
"V584",-0.723450048226804,0.229664822380473,0.00163256209317037
"V766",0.708124415756569,0.25936478660582,0.00632909711633537
"V301",-0.578572745178753,0.218873840569591,0.00820761956778799
"V527",0.652504183017931,0.252552532517901,0.00977645008787856
"V185",-0.54862198802442,0.214731996573326,0.0106213747252766
"V119",-0.574073318122647,0.226542600187099,0.011274832125429
"V538",-0.531527525482867,0.213377941527929,0.0127378956259168
"V76",-0.529779902427932,0.217161735761234,0.0147050070981679
"V294",-0.514753032396329,0.212380431356538,0.0153619803779369
"V50",0.604824553684714,0.250133801071293,0.0156059014631242
"V552",0.587244860157083,0.245822632201504,0.0168990558922691
"V456",0.576206394209706,0.2448274380886,0.0185965824851554
"V93",-0.492899315317739,0.210895010256939,0.0194298968291173
"V907",-0.494174729518115,0.211702936295845,0.0195808676921416
"V298",0.541917685493259,0.242720995445966,0.0255702246442331
"V10",0.543781642503716,0.244981650844929,0.0264402834243279
"V233",0.556671310169318,0.251623557079148,0.0269447041867533
"V494",-0.463442878832474,0.210043507777189,0.027355044771425
"V560",0.524881340409984,0.240094766124361,0.0288051911733036
"V631",-0.455565125220391,0.209055573375742,0.0293199327835796
"V914",0.518214150302818,0.239641453012783,0.0305830282677936
"V578",0.522451177371972,0.242002121889368,0.0308602357743156
"V525",-0.4490677432921,0.208426536765489,0.0311961827114323
"V176",-0.451061951209864,0.210354360800601,0.0320092011916605
"V64",0.514198241183277,0.242564280735848,0.0340192707487676
"V300",0.506405940495986,0.239032325168316,0.0341270967222763
"V2",0.519300921247571,0.24642561452976,0.0350886925526512
"V448",0.501433908090506,0.238002424069325,0.0351311299776462
"V257",-0.439517091054079,0.208885564667205,0.0353693180230316
"V764",-0.435446491791722,0.20806465180253,0.0363632398140266
"V122",-0.445615325934597,0.21304839072151,0.036472920796282
"V607",-0.432771210941024,0.207939146814383,0.0374119699239374
"V480",-0.429564646817513,0.207412180317329,0.038352479028779
"V835",0.485911337594228,0.237299283899591,0.0405920507162553
"V1",-0.420695951885132,0.208058303173223,0.0431753275790503
"V715",-0.419600453701797,0.208012436108906,0.0436757656228995
"V573",-0.421264816433277,0.209073454285471,0.0439137679160452
"V871",0.467677405584298,0.235289387123936,0.0468483167522405
"V583",-0.407797788465216,0.207922001887458,0.0498438319875517
"V666",0.464710129859765,0.238635675097607,0.0514913081062891
"V63",0.453481121365588,0.233812179055634,0.0524392358182727
"V472",0.450390644153951,0.233568319657052,0.0538173676453301
"V986",0.447310935757448,0.233932296621954,0.055858440044209
"V452",0.446392452047533,0.233504560045473,0.0559137034983693
"V360",-0.392887923044569,0.206972262486119,0.0576613594526515
"V863",0.43702419073774,0.232574277762558,0.060234441170042
"V379",0.438129324534435,0.235227483207237,0.062521788083555
"V970",0.432025797980822,0.231955654595086,0.0625275511259764
"V850",-0.382112939688297,0.205404694215655,0.0628440662631427
"V373",0.437286697874317,0.235161933105284,0.0629544425645662
"V454",-0.382279555133835,0.205893768131512,0.0633562011238737
"V537",-0.382025190008863,0.20584088937925,0.0634642923771106
"V414",-0.378783149594174,0.206495343005603,0.066603193678763
"V417",0.423023740495115,0.231186406984754,0.0672805929814631
"V704",0.419420275914625,0.23088012007795,0.0692760939279695
