"","Estimate","Std. Error","Pr(>|z|)"
"V883",0.814242435368469,0.253492324403994,0.00131768970670276
"V773",0.744921029200804,0.247427766502199,0.0026068004780136
"V42",-0.672182062533583,0.228194484434022,0.00322272371333944
"V519",-0.592048375688995,0.221413256259511,0.00749632243222887
"V62",0.630552657294448,0.238456264897612,0.00818572718851433
"V31",-0.569631555395278,0.219772612506377,0.00954438238674123
"V66",-0.563727474167399,0.220646125330337,0.0106220122422532
"V107",-0.558652953574292,0.219510488682404,0.0109279506254881
"V167",0.59202498300028,0.237056446576605,0.012510742830133
"V573",-0.537425916507095,0.217563558745525,0.0135036813056319
"V995",0.553104046142461,0.233359004125477,0.0177791794469362
"V966",-0.509583266665452,0.215861256733676,0.0182405713696742
"V112",-0.50891339905971,0.215820554592981,0.0183717365047215
"V351",0.541294784875137,0.231875711919848,0.019573856632218
"V973",-0.503635451306818,0.215883756167747,0.0196533368662218
"V797",-0.496958462381968,0.215472971182155,0.0210904679526581
"V829",-0.489267218281744,0.216554928737879,0.0238633900662648
"V289",0.52108433517437,0.231607394750938,0.0244578003584915
"V142",0.516535848298537,0.230256757362153,0.0248772334314114
"V924",-0.484890318225796,0.217213749349606,0.0255939057025244
"V584",-0.472859679843835,0.213700636576487,0.0269169533083973
"V367",0.514264154426745,0.232424417052038,0.0269246741466512
"V717",-0.475900661486209,0.215710352627546,0.0273698430595872
"V347",-0.480638249585014,0.218673723578817,0.0279512551518532
"V693",0.503420552925864,0.229461454359731,0.0282410112172913
"V93",-0.467971330550316,0.213767687288458,0.0285853283012804
"V575",-0.467169665166617,0.213402305251619,0.0285859364662731
"V674",0.495912707552352,0.228941126605727,0.0303024339188502
"V838",0.495344095596325,0.229317516550552,0.0307665058825949
"V28",0.492249878558715,0.228725339246838,0.0313860104574858
"V158",0.490734467413478,0.228481071118175,0.0317286651382565
"V21",-0.450127399024472,0.212540515661348,0.0341883839362314
"V427",0.482227423715758,0.228084499824215,0.0344940064987448
"V578",0.479025333891669,0.228317827713851,0.0358995234995206
"V912",0.477864089661715,0.227814121588433,0.0359400339755386
"V894",-0.443565119444271,0.212433762862653,0.0367963813768105
"V411",-0.448861108985233,0.215195974808407,0.0369944927799872
"V520",0.47230364767024,0.227313204342056,0.0377309166625468
"V474",0.473481555146923,0.227906311715301,0.0377529300960798
"V434",-0.44428953012186,0.214921499517536,0.0387136441268175
"V405",0.46659007191111,0.226955961236967,0.0397958472105086
"V617",-0.43922460690699,0.214621192723436,0.0407061327033715
"V594",0.464409615739192,0.227438222478938,0.0411599209770585
"V710",-0.431280643515353,0.212301785728513,0.0422092803732142
"V121",0.457836508973118,0.226512270379809,0.0432545396835072
"V57",-0.420108308440236,0.211048295725862,0.0465271893107319
"V516",0.447504134536098,0.225969428642221,0.0476614430969962
"V132",-0.418881410097408,0.211657513205653,0.0478100533972507
"V207",0.446915911167984,0.225827233153913,0.0478141034053222
