"","Estimate","Std. Error","Pr(>|z|)"
"V578",0.797151790698999,0.234636936296291,0.000680334065174633
"V748",-0.840451866032041,0.251401256334293,0.000828571527862839
"V956",0.687026475611724,0.224909209990003,0.00225298065861398
"V696",-0.650495418780668,0.234335457021853,0.00550465191556951
"V630",0.587482900905879,0.219415393663754,0.00741756847554939
"V300",0.577477888267823,0.218877917904742,0.00833090508530882
"V964",-0.597763581825301,0.231292813453235,0.0097535826972801
"V993",-0.59334974391416,0.23215194170854,0.0105923259185548
"V366",0.535014161419188,0.21623241104898,0.0133514296809998
"V69",-0.542769143892982,0.225955333631522,0.0163008892246531
"V591",0.515441305419101,0.215284404333576,0.016655105618206
"V919",-0.538712159451823,0.227192085744796,0.0177316405909915
"V51",-0.517940570940265,0.224043101364862,0.0207892662407416
"V298",0.497525337296499,0.215747462777421,0.021107605405831
"V590",-0.515950826874192,0.22482849675916,0.0217409185991251
"V532",0.497443853953163,0.216854946052733,0.0217961657474366
"V55",-0.509504865212214,0.223523318419513,0.0226417537998123
"V156",0.490325893019741,0.215429299643916,0.0228435628978737
"V472",0.476647012204005,0.213302346475202,0.0254431314185986
"V412",-0.525645119065449,0.235254955016845,0.0254591556728721
"V963",-0.497901413899241,0.223682539654068,0.0260189488793221
"V812",0.474520163557213,0.213430978904907,0.0261958717349061
"V23",0.478925433106027,0.216053847807105,0.0266439568586406
"V862",-0.513727801764412,0.23202286608156,0.0268201299129638
"V826",-0.48845019938241,0.225113355138607,0.0300222557760817
"V432",0.460801054445405,0.212848922620422,0.0303937529626879
"V456",0.458570790227632,0.212756179146605,0.0311319716418741
"V210",-0.475296981112008,0.222291818190442,0.0325032095232693
"V503",0.460309958362487,0.216735117258353,0.0336838156028677
"V692",0.451269699164107,0.213798273776007,0.0347958200018019
"V934",0.446276304839587,0.212372353722869,0.0356070901413191
"V695",-0.456337114218435,0.220274651482291,0.0382959189290831
"V536",0.437299667657098,0.211898169125684,0.0390437445215892
"V93",-0.45186859937467,0.22176309386069,0.0415880929034792
"V891",0.425437172301855,0.212090230202312,0.044864211614197
"V698",-0.440540333650266,0.220250984552581,0.0454814582768669
"V164",0.422538069536746,0.211331089221737,0.0455637159533032
"V410",-0.440040520488696,0.22022250648526,0.0456989637458259
"V875",0.420466212510962,0.21099616417738,0.0462869568080213
"V268",-0.442658832315448,0.222371625250239,0.0465219734282184
"V813",0.41392412936688,0.211010966992447,0.0498063023330567
"V895",0.418201343591655,0.213681998072217,0.0503333441933562
"V852",0.41329348293444,0.211532044295494,0.0507236579567233
"V859",0.426698910436762,0.219430212088759,0.0518259278807788
"V682",-0.437718671321497,0.225256478169498,0.0519918463952654
"V60",0.412571951142459,0.212341940752676,0.0520209607923542
"V918",0.412353257077352,0.212334166142259,0.0521369255889228
"V538",-0.426330253275415,0.220306568497673,0.0529696655173818
"V80",-0.445410514044264,0.230171899915058,0.052975429428755
"V949",-0.422971012235421,0.21868550631985,0.0530944404600161
"V224",-0.42094788053364,0.218574142287839,0.0541191813442102
"V880",0.407666869132281,0.212168800408903,0.054677892909055
"V117",-0.428215529655051,0.222978493399927,0.0548030742392724
"V243",0.420677024549506,0.219213541590424,0.0549807325023726
"V254",-0.422344329502027,0.220085080590818,0.0549837244045863
"V261",0.403210044083251,0.210623935533635,0.0555741686692565
"V820",-0.418602917500347,0.221013986066325,0.0582235517723634
"V414",-0.407546531560995,0.21750728829383,0.0609698042872553
"V427",0.395111003423904,0.211737411252602,0.0620354228167752
"V448",0.391344282140345,0.209934043993605,0.0623034955263261
"V384",-0.414161857221012,0.222194286801509,0.0623269460893989
"V541",-0.417543172111129,0.224110603439132,0.0624464992754417
"V68",0.393858569704473,0.211695313950772,0.0628151936380398
"V728",0.395854710543783,0.212908599661009,0.0629887849476851
"V105",-0.412980382693441,0.222129257500376,0.0630002829197005
"V464",0.387528858349549,0.209798202046011,0.0647253280324681
"V125",-0.403118506898816,0.219039054872051,0.0657101829450346
"V365",-0.40799419216344,0.221856352049391,0.0659149469081806
"V982",0.394075244222972,0.214315904462874,0.0659506781981297
"V947",-0.405905311518602,0.221742763070257,0.067171714399914
"V559",-0.397724924742871,0.217325405657549,0.0672365693183979
"V267",-0.398385197471996,0.217936778216345,0.0675517781315104
"V301",-0.41241778632765,0.225874551952399,0.0678697005393381
"V425",0.381865386165488,0.21045106077118,0.0695993674604648
"V574",-0.393976953638293,0.217705096297032,0.0703451442832884
"V441",0.381445693411074,0.211287264459956,0.0710212397552813
"V277",0.389808862384695,0.215985793658871,0.0711076499557667
"V450",0.386337355464712,0.214064228000599,0.0711101990267157
"V263",0.380108346220218,0.212396075711388,0.0735149595544931
"V465",-0.386226272881937,0.216626185998037,0.0745999932866141
"V652",0.372990017235433,0.20931195650007,0.074752261872637
"V863",0.370425662770252,0.209467455925576,0.0769913340507946
"V953",0.38370655349705,0.217970481633543,0.0783467585948745
"V829",-0.381023949464559,0.21646121564479,0.078366919541489
"V782",-0.391046554384933,0.222667574145409,0.0790559813215641
"V296",0.370355417892312,0.212092140301743,0.0807761045074493
"V925",0.372512151971235,0.215443201171418,0.0838000761460754
"V619",-0.377980317607278,0.220266435569033,0.0861594547748261
"V451",-0.369849312940668,0.215594604928081,0.0862563414071968
"V948",0.361104479431239,0.210654745335414,0.0864919007012284
"V777",-0.370717144336688,0.217360453298595,0.0880935900204271
"V303",-0.37159592304675,0.219939984098584,0.0911172794734793
"V717",-0.363799106863477,0.215599830553093,0.0915300710183747
"V647",-0.376227821970308,0.223925890493275,0.0929292317963518
"V16",0.349447872281789,0.208567996688647,0.0938435085512501
"V713",0.348592836633048,0.208844399716514,0.0950874600672919
"V809",-0.357266088478534,0.214977574584225,0.0965376241173225
"V861",-0.35987109758458,0.216822392288078,0.0969646336454885
"V639",-0.354332421277979,0.214836086997835,0.0990830796543623
"V825",0.345187126766231,0.21019124646878,0.100537660212631
"V500",0.34408711093975,0.210160238595822,0.101575997259263
"V932",0.34115974666355,0.20901789892707,0.10263662324502
"V640",0.340239862893324,0.208600966343887,0.102878498559828
"V644",0.338386360419892,0.20854798843874,0.104678638873082
"V397",0.3381063293555,0.208921549943901,0.105589109526978
"V240",0.336950118633914,0.208507196768208,0.106091732663127
"V573",-0.35655361021984,0.220895429867314,0.106499555378093
"V769",-0.350631132658696,0.217491798076337,0.106927571702429
"V821",0.342566047657807,0.212763709450248,0.107380952464109
"V92",-0.35237031876147,0.218981998928266,0.10758810350816
"V143",0.335422494919222,0.208464058800259,0.107612330306682
"V380",-0.35082025541696,0.218906407032314,0.109022138464511
"V308",0.338413115736967,0.211169408589407,0.109030294651117
"V527",0.331482466473608,0.209814400179892,0.114133376535697
"V657",0.34116269354559,0.21672673825141,0.115450324230283
"V969",-0.354405801977283,0.225182626448277,0.115519949038888
"V124",-0.339173573062629,0.215829071102265,0.116068503194242
"V38",-0.345536011930445,0.220354969649661,0.116860566706347
"V131",-0.338895847278228,0.216931300047963,0.118234616370208
"V4",0.334700238039518,0.214371689441088,0.118451092158709
"V843",0.329203481843497,0.210924138211646,0.118578683246108
"V905",0.331364001801349,0.212464679049725,0.118849886463815
"V520",0.324017738388657,0.208742074779135,0.120604876876793
"V915",0.322866224048102,0.209588032841646,0.123443334704573
"V995",0.318620718857595,0.207686169145893,0.124993960065319
"V144",-0.329779193571588,0.215392780202058,0.125754652262141
"V54",0.319261748143684,0.208617890089454,0.125926133651797
"V317",0.320517751288118,0.210701371653297,0.12821105480887
"V379",0.320512236588517,0.210701232855731,0.128217369660391
"V951",0.318389454680074,0.209473643198342,0.128523553737291
"V466",-0.34027440338323,0.224483751730997,0.129567754633709
"V615",-0.327712822923757,0.216410377781308,0.129946737086573
"V867",0.315015721472693,0.208509127927907,0.130839254606791
"V808",0.312088656726461,0.207512836257709,0.132594580617764
"V656",0.311719209511852,0.207827689214258,0.133642229665594
"V1",-0.325272537983364,0.217696105652767,0.135134135083625
"V482",0.310818862058353,0.208403580191595,0.135849252971979
"V572",0.3182411562172,0.213954661483603,0.136903037474589
"V518",-0.316090082673185,0.213074216835064,0.137948492003098
"V742",0.307518495564814,0.208014825915778,0.139314406988814
"V18",-0.317214754109723,0.21732835401528,0.14439714345294
"V50",0.307593149371157,0.211876021268011,0.146568327631308
"V52",0.303493066011796,0.210288872398723,0.148958561385533
"V452",0.299340323327833,0.207520054871925,0.149171364251244
"V612",0.298591813172924,0.207104767012338,0.149374935821688
"V902",-0.312754050959182,0.217127666759666,0.149749888450274
"V981",0.29730106523669,0.207072167907175,0.151077340891971
"V108",0.295775172179321,0.207231763202853,0.153502788566697
"V112",0.297392590529042,0.208966634731006,0.154690284951884
"V658",-0.302723462382298,0.212793594957145,0.154847653809223
"V419",0.295223785236827,0.208028436437531,0.155854967648192
"V486",0.299420252956937,0.211688079963625,0.157232523614325
"V169",-0.299836035196893,0.212567493255562,0.1583787904139
"V237",-0.301681465688551,0.214142560692333,0.158897870186377
"V367",0.2916960087119,0.207127692814354,0.159045000908226
"V515",-0.309960123427306,0.220704840594612,0.160196743209924
"V761",-0.298185017804307,0.21260068583628,0.16074836766379
"V396",-0.303011609149499,0.216696549453649,0.162016315715599
"V487",0.290700393454885,0.207924663873015,0.162081710082204
"V766",0.295112197842392,0.21159199618137,0.163099423206186
"V305",-0.295812801240329,0.212202720497632,0.163314461335634
"V81",0.289311727586291,0.208784497090564,0.165839918228232
"V776",-0.295732859421508,0.213888445746082,0.166772210094196
"V279",-0.295111519799785,0.213862117076076,0.16761285138935
"V196",0.284719467722328,0.206838260815274,0.168657012802892
"V609",0.284146931942947,0.207165738940097,0.170190392825875
"V833",0.283414889302908,0.207762297553994,0.172526493302164
"V316",-0.297381601782748,0.218139914630573,0.172800321102602
"V980",0.281696159850035,0.206768877776335,0.173080469390178
"V715",-0.294038742517435,0.216308243485073,0.174035514155539
"V59",0.281810555151717,0.207727334932306,0.17489663024186
"V32",0.287360774268355,0.213253498168277,0.177816709646906
"V860",-0.285409145792809,0.212069359471297,0.178357591783225
"V343",-0.293286396752726,0.217962671103409,0.178437730227212
"V850",-0.285998890040775,0.213480636151118,0.180344601183659
"V721",-0.285893713343311,0.213476284122512,0.180496008045913
"V26",-0.285768793981813,0.213471116689687,0.180675969166694
"V385",0.279106189522224,0.208564814324192,0.180823819286276
"V804",0.282024734727869,0.211312751287293,0.181996858306146
"V509",-0.285941548910954,0.214579437558983,0.182673831194435
"V204",-0.287734901100006,0.216040477304184,0.182907367193661
"V688",0.277492079536352,0.208531128002587,0.183288204760805
"V30",-0.281740808139533,0.21247925744025,0.184850122327265
"V602",-0.283877068785906,0.214493675404503,0.185677384604993
"V958",0.277437820512024,0.209719681867636,0.185869185063661
"V313",0.273012798403105,0.206675200149591,0.186509658431008
"V928",0.277533300465416,0.211221310235681,0.188864528844749
"V917",0.273754612047174,0.208454238442694,0.189095354021618
"V558",-0.284540274038236,0.217590016686281,0.190978499715856
