"","Estimate","Std. Error","Pr(>|z|)"
"V578",-0.653171927484727,0.220668037082928,0.00307663761483858
"V682",0.721854242749618,0.244793508522077,0.00318980225246375
"V730",0.636629650125994,0.240779215909153,0.00819232034100211
"V995",-0.569737642960652,0.218452541327803,0.00910566170182681
"V93",0.605136984792092,0.235748291098839,0.0102618857113635
"V630",-0.546714902854912,0.215285342528562,0.0111014324515908
"V695",0.596729501036694,0.237716213630074,0.0120642300320455
"V176",0.585635073657732,0.23449023021759,0.0125078898484661
"V859",-0.537907274082686,0.21574060198821,0.0126559828142463
"V300",-0.52017016037972,0.213955073123553,0.0150484028764249
"V956",-0.512862351604131,0.214348384492254,0.0167268298425168
"V448",-0.514644052028674,0.215497543227864,0.0169326603641565
"V692",-0.508405760386733,0.212967406154241,0.0169750910051278
"V673",-0.504357562905103,0.212872604567595,0.0178221303878731
"V299",0.546072257660653,0.231380625339628,0.0182719584386965
"V63",-0.503482440840902,0.216322827924377,0.019940866395437
"V573",0.534568966308217,0.230956879168195,0.0206357403840749
"V949",0.535784675256163,0.232140861028425,0.0209982816361483
"V164",-0.489886687875676,0.213266988773776,0.0216154491991131
"V559",0.518265191004817,0.230927057445746,0.024814331810833
"V572",-0.476211015830447,0.212252157538218,0.0248575196519832
"V748",0.505289454592835,0.228770627201497,0.0271943673790629
"V963",0.49737473020247,0.228732519567335,0.0296689611496074
"V253",-0.458408947619203,0.211014151090348,0.0298248601028652
"V425",-0.453660203796107,0.211025812228157,0.0315721959597527
"V697",0.486513587053702,0.227539506351721,0.032504573964119
"V432",-0.450642731185239,0.211581102442118,0.033181376249903
"V26",0.48198904334353,0.227246807457867,0.0339223339359264
"V243",-0.448574932682049,0.212128134968003,0.0344605237805069
"V813",-0.440615871049818,0.211183130949044,0.0369409536008919
"V653",-0.433167550033714,0.21024043730839,0.0393656997736505
"V627",-0.42940577147544,0.209755424093126,0.0406410403000619
"V487",-0.42910926558363,0.210091481073705,0.0411031784677894
"V210",0.461838116903032,0.226425217961758,0.0413808312203033
"V296",-0.426373354738952,0.209608788173073,0.0419376097062309
"V862",0.459128370373779,0.226743664932838,0.0428798426054446
"V343",0.449347180382768,0.225486518343262,0.046284495094567
"V475",-0.418109160572469,0.211287307168134,0.0478311526480461
"V947",0.444193037669388,0.224793463801038,0.0481541961836458
"V364",0.444206175272022,0.224863928601898,0.0482177450521812
"V184",-0.417668792625347,0.212537535317196,0.0493965223775186
"V660",-0.410255278716419,0.209099526744249,0.0497613666518603
"V68",-0.409881458018012,0.209087201345919,0.0499563688604289
"V863",-0.413426087672629,0.213970075180392,0.0533387991540887
"V31",0.429578644190036,0.223804738258132,0.0549293070691998
"V279",0.427395066673137,0.223839552423369,0.0562129149448305
"V50",-0.395508593884344,0.208907313419734,0.0583279252102484
"V647",0.423078500947297,0.224575253124021,0.059577791426966
"V430",-0.391094904967858,0.208482137226503,0.0606668626550483
"V365",0.417353903378834,0.223189863499049,0.0614907502340803
"V905",-0.390212463113983,0.208753015617446,0.0615874488971066
"V648",0.416957895511909,0.223166628708976,0.0617104773351973
"V217",-0.388625200885703,0.208707470675643,0.0625950601562471
"V664",0.416301194592766,0.224334785649413,0.0634943392010074
"V696",0.414693798017049,0.223517478759008,0.0635522363236113
"V16",-0.389322512330861,0.210273651458498,0.0640970760222603
"V366",-0.387387544600285,0.209294964355684,0.064181537943981
"V925",-0.386967669486238,0.209273626895853,0.0644435082347111
"V268",0.410072659116161,0.222649508477854,0.0655065168605818
"V113",-0.383968405150603,0.20858150558687,0.0656427417227672
"V289",-0.380266063028118,0.20847292736169,0.0681437740247737
"V871",-0.376525138710679,0.208956176242074,0.0715558652604639
"V194",-0.378169130406267,0.20998005978361,0.0717066010857717
"V267",0.399912541590169,0.222642927548606,0.0724617756470815
"V900",-0.376233530918072,0.209849759210097,0.0729935661164763
"V78",-0.375472431381609,0.20982582335549,0.0735426707846722
"V254",0.394480719579961,0.221899635472434,0.0754459288502132
"V301",0.394997026115382,0.222957849731469,0.076457329374526
"V288",-0.368399113732345,0.208123291828306,0.0767104236481764
"V594",-0.36591534700143,0.207776556052966,0.0782214349491497
"V532",-0.364326074518358,0.207734774110911,0.0794641001283347
"V741",-0.369067461463154,0.210835729904421,0.0800324697058622
"V369",0.389607982528058,0.222654768810321,0.0801476613562879
"V685",0.386733687942696,0.221878494214112,0.0813340300797592
"V205",-0.360248749547024,0.207896227739485,0.0831259494916392
"V816",-0.359495546751654,0.207593428195297,0.0833218359224614
"V485",-0.359151367932299,0.207584367934567,0.0836041038308642
"V128",0.381746807385431,0.221151130631788,0.0843149140296804
"V18",0.381507324580157,0.221137767531024,0.0844910707045633
"V284",-0.361092777139114,0.209388326393105,0.0846153721710345
"V472",-0.360652874214464,0.209375383648135,0.0849757188062661
"V806",-0.362820298980085,0.210640359958683,0.0849856173422559
"V480",0.381289494944231,0.221566964930662,0.0852731451679591
"V821",-0.357258173752909,0.207873461512619,0.0856812337829193
"V657",-0.358707669228852,0.209494978892854,0.0868507019777667
"V953",-0.357014040760488,0.209454986918526,0.0882894845764993
"V107",0.369039105478148,0.22046116876448,0.0941420917450196
"V503",-0.344900700335606,0.207579373720914,0.0966057501630536
"V55",0.367380369808325,0.222454094895745,0.0986388759398984
"V486",-0.342559565095652,0.207525851466204,0.098803153499202
"V751",0.364092164959691,0.220578807800062,0.0988158466905646
"V236",0.364954430607446,0.22129872411791,0.099117241827416
"V305",0.366238758230966,0.222389059578781,0.0995913445607352
"V619",0.362356678044419,0.220084494951225,0.0996724910098183
"V320",0.360149975816718,0.219965085833538,0.10156671783093
"V867",-0.337013550250659,0.207297201269396,0.10400272016338
"V51",0.362492316788437,0.223453611229296,0.104754910214659
"V868",0.357734214934137,0.220934678814286,0.105407369961912
"V456",-0.336289795093211,0.207838941589427,0.105655974506461
"V261",-0.3350256174709,0.20780735181321,0.106919885738356
"V906",-0.332429382764689,0.206928247122333,0.108164992768977
"V495",-0.329924906498663,0.20712867559765,0.111193850077478
"V591",-0.329645182583649,0.207675296703004,0.112442334452674
"V968",0.348749719982864,0.21975775947143,0.112518667960782
"V574",0.348437464250047,0.219740841840742,0.112813151371949
"V833",-0.328147474352357,0.207087461159571,0.113060886108263
"V237",0.347077099930814,0.219263326499755,0.113438872931558
"V951",-0.327090499196869,0.206808347006753,0.113738243715326
"V380",0.34675636934746,0.219249100124953,0.113749257025703
"V565",-0.327206681353076,0.207065815498059,0.114059656926277
"V602",0.345981098652738,0.219072209482904,0.11426688698573
"V481",0.345562321945843,0.219585471259313,0.115556120515254
"V12",0.345469181833343,0.219585856125197,0.115654898281441
"V736",-0.329333583210576,0.209684171674187,0.11627157389178
"V83",-0.325370534080601,0.207803430106034,0.11740454857379
"V303",0.342662228189954,0.219033260871472,0.117716594418807
"V914",-0.324267965324196,0.207547192400442,0.118198061484967
"V207",-0.32409268671889,0.207543081774966,0.11838973427431
"V52",-0.322859929925393,0.206759961481387,0.118400977697668
"V125",0.34153199939586,0.218967427112638,0.118821611156232
"V527",-0.321712285671516,0.206691326843207,0.11959242075932
"V555",-0.32350665678347,0.208377016574468,0.120541096882398
"V846",-0.320694594365913,0.206919194541316,0.121176501071817
"V220",-0.320578395209114,0.206916629198154,0.121306761314155
"V390",0.334806894235881,0.218612136409641,0.125643146985309
"V34",-0.315573315754427,0.207348241566124,0.128022020962571
"V283",0.332133556636482,0.218471996804928,0.128446426310003
"V875",-0.31546663608371,0.208185531022474,0.129692678026273
"V360",0.329778874770334,0.218363378828216,0.130984805595922
"V414",0.334572584561807,0.221889587166384,0.131597109293493
"V969",0.331296483016693,0.220487381633557,0.132951417886831
"V895",-0.310275342007184,0.206507970804661,0.132971632159889
"V412",0.330716870505103,0.220457844775058,0.133579035111637
"V224",0.327330301104675,0.219288065840133,0.135516921375636
"V397",-0.317298076604198,0.212659872529424,0.135687377038827
"V981",-0.310699021388637,0.209218611828901,0.137531944549054
"V832",-0.306166157131998,0.20643010119549,0.138035395261956
"V145",0.323339983676064,0.218015443885595,0.138046285780054
"V849",0.321095815045697,0.217776549802247,0.140366424427751
"V761",0.322667174888304,0.219042912125044,0.140730152548473
"V964",0.320811401156213,0.217885422235585,0.140916726239015
"V64",-0.303510320103571,0.206735890456935,0.142075275837051
"V717",0.321479404274822,0.218980785655216,0.142084859459924
"V259",-0.302576358329083,0.206305555099506,0.142473512697064
"V570",0.320200476562984,0.219865449477073,0.145296607345821
"V820",0.31673943640487,0.217555258135082,0.145419330226265
"V185",0.317473986823898,0.218106057385123,0.145504737597574
"V715",0.316704554598729,0.21769815124835,0.145728092926161
"V899",0.315328410092271,0.217628993842722,0.147358117722082
"V538",0.31413620040416,0.217544897087201,0.148737205173047
"V750",-0.299831364802677,0.208312871721482,0.150056504254657
"V441",-0.29645230839971,0.206192171095205,0.150505669183228
"V384",0.312181561756745,0.217471470475874,0.151143010792029
"V993",0.310714011406799,0.217251926135807,0.15265922046916
"V4",-0.296111801055835,0.207271818010005,0.153114680745406
"V195",0.308697538741736,0.217298077403895,0.155427871344718
"V269",0.308715706467659,0.218321378235622,0.157349425629346
"V858",0.305995597876395,0.217016624596197,0.158536747805169
"V824",-0.291680145875541,0.207200616988708,0.159214435651358
"V332",-0.290617940775828,0.206833346356333,0.159996710795401
"V450",-0.289684917705941,0.206502555123381,0.160671961061183
"V206",-0.289079008598699,0.206492881709025,0.161529308615715
"V807",-0.288240986155487,0.206115770727309,0.161980326551456
"V1",0.302993931559359,0.217016515705902,0.162660557696302
