"Hugo_Symbol","Low","High","pval","or","ci.up","ci.low","adjPval"
"ATAD5",0,11,0.000661820496725036,0,0.359910196752676,0,1
"FBXW7",3,17,0.00127565639353134,0.144245751815394,0.533033518834845,0.02583289991203,1
"CSMD2",1,12,0.00229256765785501,0.0720410391098105,0.511313782010884,0.00164690599355881,1
"ASXL1",0,9,0.00303910606207566,0,0.470299157854264,0,1
"ICE1",0,9,0.00303910606207566,0,0.470299157854264,0,1
"DLGAP3",0,8,0.00643575401380728,0,0.550885635375202,0,1
"KCNQ1",0,8,0.00643575401380728,0,0.550885635375202,0,1
"KIF17",0,8,0.00643575401380728,0,0.550885635375202,0,1
"MAP3K10",0,8,0.00643575401380728,0,0.550885635375202,0,1
"PDE4DIP",0,8,0.00643575401380728,0,0.550885635375202,0,1
"APOB",3,14,0.00835895660546671,0.183839025480025,0.700991516982509,0.0323980503028948,1
"PLXNA3",1,10,0.00904488012190883,0.0890804413835618,0.655632034512566,0.00200645364540292,1
"RNF213",2,12,0.00926302188469488,0.145738137696549,0.691319866596983,0.0152714106126421,1
"APC",63,48,0.0100158284319373,2.80739664928616,6.57106870230613,1.25217126744221,1
"ADAMTS4",0,7,0.0135244106087255,0,0.660615935250421,0,1
"CHRD",0,7,0.0135244106087255,0,0.660615935250421,0,1
"CKAP2",0,7,0.0135244106087255,0,0.660615935250421,0,1
"EXPH5",0,7,0.0135244106087255,0,0.660615935250421,0,1
"FAM193A",0,7,0.0135244106087255,0,0.660615935250421,0,1
"PCDHA6",0,7,0.0135244106087255,0,0.660615935250421,0,1
"PHLDB2",0,7,0.0135244106087255,0,0.660615935250421,0,1
"PLCB3",0,7,0.0135244106087255,0,0.660615935250421,0,1
"TMPO",0,7,0.0135244106087255,0,0.660615935250421,0,1
"ZMYND8",0,7,0.0135244106087255,0,0.660615935250421,0,1
"MUC5B",7,19,0.0166156058167374,0.306686333034304,0.828678139971766,0.101442698148812,1
"BCL9L",2,11,0.0171986159275587,0.161395278001191,0.779695522675387,0.0167769854792129,1
"FAT1",2,11,0.0171986159275587,0.161395278001191,0.779695522675387,0.0167769854792129,1
"OTOGL",2,11,0.0171986159275587,0.161395278001191,0.779695522675387,0.0167769854792129,1
"BRCA2",1,9,0.0175758091841719,0.100434097000495,0.757649246086663,0.00224023469610074,1
"CACNA1D",1,9,0.0175758091841719,0.100434097000495,0.757649246086663,0.00224023469610074,1
"CREBBP",1,9,0.0175758091841719,0.100434097000495,0.757649246086663,0.00224023469610074,1
"SBNO1",1,9,0.0175758091841719,0.100434097000495,0.757649246086663,0.00224023469610074,1
"TRHDE",1,9,0.0175758091841719,0.100434097000495,0.757649246086663,0.00224023469610074,1
"USP35",1,9,0.0175758091841719,0.100434097000495,0.757649246086663,0.00224023469610074,1
"SYNE1",12,25,0.0225537277783382,0.384939885399692,0.886023218031044,0.159605133307068,1
"ANK3",3,12,0.026705994297753,0.221181449963656,0.869444887031038,0.0383666368308649,1
"GRIK2",3,12,0.026705994297753,0.221181449963656,0.869444887031038,0.0383666368308649,1
"ARID1B",0,6,0.0282080564124845,0,0.818294830896937,0,1
"ATP2C1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"CADPS",0,6,0.0282080564124845,0,0.818294830896937,0,1
"CHRNA4",0,6,0.0282080564124845,0,0.818294830896937,0,1
"CRYBG3",0,6,0.0282080564124845,0,0.818294830896937,0,1
"EIF2AK1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"ENTPD4",0,6,0.0282080564124845,0,0.818294830896937,0,1
"ETV6",0,6,0.0282080564124845,0,0.818294830896937,0,1
"FMR1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"GFRA1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"HLA-B",0,6,0.0282080564124845,0,0.818294830896937,0,1
"HLA-C",0,6,0.0282080564124845,0,0.818294830896937,0,1
"LANCL2",0,6,0.0282080564124845,0,0.818294830896937,0,1
"LRRTM1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"MAP2K7",0,6,0.0282080564124845,0,0.818294830896937,0,1
"MROH2B",0,6,0.0282080564124845,0,0.818294830896937,0,1
"NDE1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"PITPNM1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"PRTG",0,6,0.0282080564124845,0,0.818294830896937,0,1
"RUNX1T1",0,6,0.0282080564124845,0,0.818294830896937,0,1
"TUBGCP3",0,6,0.0282080564124845,0,0.818294830896937,0,1
"VAV2",0,6,0.0282080564124845,0,0.818294830896937,0,1
"XKR7",0,6,0.0282080564124845,0,0.818294830896937,0,1
"YTHDC2",0,6,0.0282080564124845,0,0.818294830896937,0,1
"PLXNB3",2,10,0.0313402514654828,0.180174809283232,0.889876126992279,0.0185557847820041,1
"ABCC12",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"AP3D1",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"AP5Z1",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"CHD9",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"CIC",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"CTR9",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"LRRK1",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"NOL6",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"SDK2",1,8,0.0336089376276603,0.114619767024286,0.891910949116195,0.00252604492522452,1
"DNAH2",4,13,0.036957204469661,0.271425351374975,0.937087660553978,0.0613355342244141,1
"MXRA5",4,13,0.036957204469661,0.271425351374975,0.937087660553978,0.0613355342244141,1
"DOCK2",3,11,0.0462957940847262,0.244924237136885,0.981829719191138,0.0420566008938601,1
"MYCBP2",3,11,0.0462957940847262,0.244924237136885,0.981829719191138,0.0420566008938601,1
"AHDC1",2,9,0.0559649899643555,0.203053683804657,1.03084493406659,0.0206476638899461,1
"HECTD4",2,9,0.0559649899643555,0.203053683804657,1.03084493406659,0.0206476638899461,1
"MIDEAS",2,9,0.0559649899643555,0.203053683804657,1.03084493406659,0.0206476638899461,1
"MYH6",2,9,0.0559649899643555,0.203053683804657,1.03084493406659,0.0206476638899461,1
"SPART",2,9,0.0559649899643555,0.203053683804657,1.03084493406659,0.0206476638899461,1
"SRCAP",2,9,0.0559649899643555,0.203053683804657,1.03084493406659,0.0206476638899461,1
"TRPC4",2,9,0.0559649899643555,0.203053683804657,1.03084493406659,0.0206476638899461,1
"DOCK3",6,15,0.0580994713303111,0.350926470203886,1.03087582910863,0.10480856018812,1
"ABCA8",0,5,0.0584025956709187,0,1.06313576590789,0,1
"ADAMTSL4",0,5,0.0584025956709187,0,1.06313576590789,0,1
"ANGPTL1",0,5,0.0584025956709187,0,1.06313576590789,0,1
"ATP13A2",0,5,0.0584025956709187,0,1.06313576590789,0,1
"B4GALNT4",0,5,0.0584025956709187,0,1.06313576590789,0,1
"BAIAP3",0,5,0.0584025956709187,0,1.06313576590789,0,1
"C14orf39",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CCDC116",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CCDC180",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CCNT1",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CD248",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CDK1",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CEMIP2",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CFAP100",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CFAP69",0,5,0.0584025956709187,0,1.06313576590789,0,1
"CSF1R",0,5,0.0584025956709187,0,1.06313576590789,0,1
"DGKD",0,5,0.0584025956709187,0,1.06313576590789,0,1
"DHX36",0,5,0.0584025956709187,0,1.06313576590789,0,1
"DPP10",0,5,0.0584025956709187,0,1.06313576590789,0,1
"DPP9",0,5,0.0584025956709187,0,1.06313576590789,0,1
"DROSHA",0,5,0.0584025956709187,0,1.06313576590789,0,1
"EBF1",0,5,0.0584025956709187,0,1.06313576590789,0,1
"EHD2",0,5,0.0584025956709187,0,1.06313576590789,0,1
"EIF4G3",0,5,0.0584025956709187,0,1.06313576590789,0,1
"EPHB2",0,5,0.0584025956709187,0,1.06313576590789,0,1
"ETNPPL",0,5,0.0584025956709187,0,1.06313576590789,0,1
"FAM135A",0,5,0.0584025956709187,0,1.06313576590789,0,1
"FBXO11",0,5,0.0584025956709187,0,1.06313576590789,0,1
"FGD3",0,5,0.0584025956709187,0,1.06313576590789,0,1
"FLCN",0,5,0.0584025956709187,0,1.06313576590789,0,1
"FUBP1",0,5,0.0584025956709187,0,1.06313576590789,0,1
"GLRA3",0,5,0.0584025956709187,0,1.06313576590789,0,1
