"Hugo_Symbol","Low","High","pval","or","ci.up","ci.low","adjPval"
"IGSF10",6,0,0.0137299771167048,Inf,Inf,1.60762025451346,1
"KIF17",0,6,0.0137299771167048,0,0.622037447707232,0,1
"PHLDB2",0,6,0.0137299771167048,0,0.622037447707232,0,1
"SIM1",6,0,0.0137299771167048,Inf,Inf,1.60762025451346,1
"RNF213",1,7,0.0271907389958272,0.0737703836751398,0.811072452461415,0.0013310686774731,1
"MUC5B",4,10,0.0360748418360478,0.112187176990367,0.896925043881392,0.0081015256686787,1
"ADCY2",0,5,0.0372670807453417,0,0.886431494431471,0,1
"ASXL1",0,5,0.0372670807453417,0,0.886431494431471,0,1
"CADPS",0,5,0.0372670807453417,0,0.886431494431471,0,1
"CARS2",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"DHX36",0,5,0.0372670807453417,0,0.886431494431471,0,1
"ERBB3",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"ICE1",0,5,0.0372670807453417,0,0.886431494431471,0,1
"KCNV1",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"KIAA1522",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"MAP3K10",0,5,0.0372670807453417,0,0.886431494431471,0,1
"RELCH",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"SEC63",0,5,0.0372670807453417,0,0.886431494431471,0,1
"SP140",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"TUT7",0,5,0.0372670807453417,0,0.886431494431471,0,1
"ULK1",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"ZBTB22",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"ZNRF3",5,0,0.0372670807453417,Inf,Inf,1.12811876189188,1
"ADGRV1",9,3,0.0391257013278818,8.05201254275493,84.5796605670402,1.08437735621756,1
"FAT1",3,9,0.0391257013278818,0.124187396556655,0.922188197924123,0.0118231734827946,1
"ACVR2B",6,1,0.068649885583524,9.91064681497292,548.683994930828,0.886883346680645,1
"CHD3",6,1,0.068649885583524,9.91064681497292,548.683994930828,0.886883346680645,1
"CLUH",1,6,0.068649885583524,0.100901587824642,1.12754400422865,0.00182254268256188,1
"COL17A1",6,1,0.068649885583524,9.91064681497292,548.683994930828,0.886883346680645,1
"CREBBP",1,6,0.068649885583524,0.100901587824642,1.12754400422865,0.00182254268256188,1
"PLXNA3",1,6,0.068649885583524,0.100901587824642,1.12754400422865,0.00182254268256188,1
"TP53",6,1,0.068649885583524,9.91064681497292,548.683994930828,0.886883346680645,1
"BCL9L",2,7,0.0893794588773726,0.156384279801927,1.2348589172378,0.0116725660413285,1
"CHD6",7,2,0.0893794588773726,6.39450462199,85.6709652752742,0.809809109397579,1
"HBS1L",2,7,0.0893794588773726,0.156384279801927,1.2348589172378,0.0116725660413285,1
"LAMA5",7,2,0.0893794588773726,6.39450462199,85.6709652752742,0.809809109397579,1
"SPEG",7,2,0.0893794588773726,6.39450462199,85.6709652752742,0.809809109397579,1
"ABI3BP",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"AFP",0,4,0.093167701863354,0,1.33987696439476,0,1
"ALS2",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"ANKRD28",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"ANKRD34A",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"APOB",0,4,0.093167701863354,0,1.33987696439476,0,1
"ATP13A2",0,4,0.093167701863354,0,1.33987696439476,0,1
"CAND1",0,4,0.093167701863354,0,1.33987696439476,0,1
"CDH13",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"CEMIP2",0,4,0.093167701863354,0,1.33987696439476,0,1
"CHRNA4",0,4,0.093167701863354,0,1.33987696439476,0,1
"CRYGA",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"CTR9",0,4,0.093167701863354,0,1.33987696439476,0,1
"DDX18",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"DPP9",0,4,0.093167701863354,0,1.33987696439476,0,1
"EML5",0,4,0.093167701863354,0,1.33987696439476,0,1
"ENAH",0,4,0.093167701863354,0,1.33987696439476,0,1
"ENOX2",0,4,0.093167701863354,0,1.33987696439476,0,1
"EOMES",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"ERCC2",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"FAM13A",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"FAM9A",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"FGD3",0,4,0.093167701863354,0,1.33987696439476,0,1
"GLG1",0,4,0.093167701863354,0,1.33987696439476,0,1
"HCFC1",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"HLA-C",0,4,0.093167701863354,0,1.33987696439476,0,1
"HNF1A",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"HTR1A",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"KANK1",0,4,0.093167701863354,0,1.33987696439476,0,1
"KCNK10",0,4,0.093167701863354,0,1.33987696439476,0,1
"KIAA0319L",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"KLHL26",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"LIG3",0,4,0.093167701863354,0,1.33987696439476,0,1
"LONRF1",0,4,0.093167701863354,0,1.33987696439476,0,1
"MAN2A1",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"MAP2K7",0,4,0.093167701863354,0,1.33987696439476,0,1
"MARK2",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"MARVELD2",0,4,0.093167701863354,0,1.33987696439476,0,1
"MAST1",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
"MDGA1",4,0,0.093167701863354,Inf,Inf,0.746337183617238,1
