"Pesticide","SES_Adjusted","Effect","P_value","Significant","Included_SES","N","N_SC","N_Time","Filters"
"X24DB","NULL",0.110254429365362,0.444860148429803,FALSE,"",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","Education.index",0.0933992987021969,0.509793283707924,FALSE,"Education.index",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","Income",0.101768700639394,0.483045929129338,FALSE,"Income",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","home_value",0.043244278175303,0.773118988225304,FALSE,"home_value",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","rent",0.014979311575817,0.92069568301752,FALSE,"rent",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","Poverty_150",0.0965488248687329,0.513046821190507,FALSE,"Poverty_150",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","Unemployed",0.10130680254407,0.523225632257433,FALSE,"Unemployed",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","Working_class",0.0715225216818904,0.626800306455875,FALSE,"Working_class",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X24DB","Combined_SES",0.0584557835700491,0.699585959758537,FALSE,"Education.index, rent",1807,100,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X6BENZYLADENINE","NULL",-0.0671896534405441,0.83490389431375,FALSE,"",598,43,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X6BENZYLADENINE","Education.index",0.108299299656009,0.732013705286873,FALSE,"Education.index",598,43,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X6BENZYLADENINE","Income",-0.132658672291414,0.699103794990612,FALSE,"Income",598,43,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X6BENZYLADENINE","home_value",-0.07632779779856,0.816910618785413,FALSE,"home_value",598,43,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X6BENZYLADENINE","rent",-0.0778887718373693,0.814244409921903,FALSE,"rent",598,43,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"X6BENZYLADENINE","Poverty_150",-0.131160325216251,0.699439805888909,FALSE,"Poverty_150",598,43,21,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
