"Pesticide1","Pesticide2","SES_Adjusted","Effect","P_value","Significant","Included_SES","N_obs","N_years","N_SC","Filter_Description"
"XACETOCHLOR","XATRAZINE","NULL",0.357196389583638,0.000210322804704152,TRUE,"None",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","NULL+Pesti2",-0.0436423969297433,0.857247575464638,FALSE,"None",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","Education.index",-0.0229216660151632,0.92451675308182,FALSE,"Education.index",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","Income",-0.0414824474328754,0.864498343596532,FALSE,"Income",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","home_value",-0.036030518396612,0.883397109370896,FALSE,"home_value",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","rent",-0.0835180722202138,0.736537705963774,FALSE,"rent",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","Poverty_150",-0.0429088056065692,0.861172109972802,FALSE,"Poverty_150",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","Unemployed",0.0387466138708086,0.87759724680188,FALSE,"Unemployed",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XATRAZINE","Working_class",-0.0675359209595897,0.785527904982328,FALSE,"Working_class",1453,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","NULL",0.369029199836452,0.000688040251559322,TRUE,"None",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","NULL+Pesti2",0.29915537159607,0.0089533615981618,TRUE,"None",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","Education.index",0.285688718982715,0.0109073895091408,TRUE,"Education.index",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","Income",0.297663296671235,0.0095331446839976,TRUE,"Income",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","home_value",0.287504047090871,0.0186285865780341,TRUE,"home_value",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","rent",0.261356320901658,0.0335069559707215,TRUE,"rent",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","Poverty_150",0.328017955636108,0.00954941140490034,TRUE,"Poverty_150",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","Unemployed",0.420681081056874,0.00230864949237848,TRUE,"Unemployed",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XDIAZINON","Working_class",0.286269766112106,0.0170454518463847,TRUE,"Working_class",1168,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","NULL",0.329967118980064,0.000942958412482444,TRUE,"None",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","NULL+Pesti2",0.256532576312194,0.0726157949438095,FALSE,"None",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","Education.index",0.248328348941763,0.0795749213038672,FALSE,"Education.index",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","Income",0.257006394400241,0.0757502682459904,FALSE,"Income",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","home_value",0.257940418330874,0.0879372747062731,FALSE,"home_value",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","rent",0.202204188674072,0.192064185180442,FALSE,"rent",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","Poverty_150",0.250594278039669,0.0950199601502969,FALSE,"Poverty_150",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","Unemployed",0.345102653648559,0.0362947479058001,TRUE,"Unemployed",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XESFENVALERATE","Working_class",0.226184044476263,0.136905490566809,FALSE,"Working_class",1417,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","NULL",0.0695751046436119,0.718624914372456,FALSE,"None",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","NULL+Pesti2",-0.0278062274352319,0.872132460190754,FALSE,"None",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","Education.index",0.0850981899220862,0.590020218081847,FALSE,"Education.index",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","Income",0.0218595811349613,0.88628676900886,FALSE,"Income",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","home_value",0.0495825860265304,0.749030942442607,FALSE,"home_value",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","rent",0.0411674996613269,0.792209147464997,FALSE,"rent",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","Poverty_150",-0.0331815675128145,0.828387912688468,FALSE,"Poverty_150",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","Unemployed",-0.0611180191377416,0.707935390097016,FALSE,"Unemployed",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","Working_class",0.102751579763933,0.524225876806051,FALSE,"Working_class",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFENBUCONAZOLE","Combined_SES",-0.0331815675128145,0.828387912688468,FALSE,"Poverty_150",260,18,16,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","NULL",0.482291879593152,0.0206089305208645,TRUE,"None",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","NULL+Pesti2",-0.0675889237035751,0.853456299740268,FALSE,"None",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","Education.index",-0.0837518641783083,0.819527847798437,FALSE,"Education.index",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","Income",-0.0617475300032768,0.869253819722811,FALSE,"Income",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","home_value",0.0416199488295506,0.918508997509913,FALSE,"home_value",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","rent",-0.156252942900255,0.704319920467784,FALSE,"rent",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","Poverty_150",-0.0668525587277272,0.855432597724064,FALSE,"Poverty_150",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","Unemployed",0.201179483834953,0.614301987213392,FALSE,"Unemployed",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XFLUMIOXAZIN","Working_class",-0.0665736561608014,0.86172028994915,FALSE,"Working_class",660,12,74,"SC≥10|Top5%"
"XACETOCHLOR","XGLYPHOSATE","NULL",0.357196389583638,0.000210322804704152,TRUE,"None",1453,19,87,"SC≥10|Top5%"
