"SC","variable","value","EPEST_HIGH_KG","Area","perArea","logArea"
"Georgia-DeKalb",1992,61,3.9,267.74,0.0145663703593038,-4.22903980722215
"Georgia-DeKalb",1993,4,1.5,267.74,0.00560245013819377,-5.18455125224959
"Georgia-DeKalb",1994,67,2.2,267.74,0.00821692686935086,-4.80155899999348
"Georgia-DeKalb",1995,6,10.7,267.74,0.0399641443191156,-3.21977261888989
"Georgia-DeKalb",1996,69,19.4,267.74,0.0724583551206394,-2.62474329428847
"Georgia-DeKalb",1997,88,11.7,267.74,0.0436991110779114,-3.13042751855404
"Georgia-DeKalb",1998,54,43,267.74,0.160603570628221,-1.82881624466419
"Georgia-DeKalb",1999,76,8.5,267.74,0.0317472174497647,-3.44995019686148
"Georgia-DeKalb",2000,51,6.5,267.74,0.024277283932173,-3.71821418345616
"Georgia-DeKalb",2001,14,49.8,267.74,0.186001344588033,-1.68200137632715
"Georgia-DeKalb",2002,96,19.7,267.74,0.0735788451482782,-2.60939772461381
"Georgia-DeKalb",2003,91,19.7,267.74,0.0735788451482782,-2.60939772461381
"Georgia-DeKalb",2004,72,17.8,267.74,0.0664824083065661,-2.71081790305971
"Georgia-DeKalb",2005,78,5.4,267.74,0.0201688204974976,-3.90361740678752
"Georgia-DeKalb",2006,28,4.7,267.74,0.0175543437663405,-4.04245385164174
"Georgia-DeKalb",2007,54,5.5,267.74,0.0205423171733772,-3.88526826811932
"Georgia-DeKalb",2008,86,3.8,267.74,0.0141928736834242,-4.25501529362541
"Georgia-DeKalb",2009,83,1.2,267.74,0.00448196011055502,-5.4076948035638
"Georgia-DeKalb",2010,43,0.9,267.74,0.00336147008291626,-5.69537687601558
"Georgia-DeKalb",2011,84,1.5,267.74,0.00560245013819377,-5.18455125224959
"Georgia-DeKalb",2012,66,1.2,267.74,0.00448196011055502,-5.4076948035638
"Georgia-Fulton",1992,74,24.3,526.69,0.0461371964533217,-3.07613578982248
"Georgia-Fulton",1993,32,11.9,526.69,0.022593935711709,-3.7900737400515
"Georgia-Fulton",1994,30,339.7,526.69,0.6449714253166,-0.438549265002449
"Georgia-Fulton",1995,91,89.2,526.69,0.169359585334827,-1.77573110058302
"Georgia-Fulton",1996,59,117,526.69,0.222142056997475,-1.50443820537123
"Georgia-Fulton",1997,51,134.5,526.69,0.255368433044106,-1.36504794112709
"Georgia-Fulton",1998,70,372.5,526.69,0.707247147278285,-0.346375102349373
"Georgia-Fulton",1999,65,74.3,526.69,0.141069699443696,-1.95850118844527
"Georgia-Fulton",2000,52,57.2,526.69,0.108602783420988,-2.22005824178323
"Georgia-Fulton",2001,7,436.6,526.69,0.828950616111944,-0.187594696053144
"Georgia-Fulton",2002,21,173.9,526.69,0.33017524540052,-1.10813171880875
"Georgia-Fulton",2003,76,162.5,526.69,0.308530634718715,-1.17593413839919
"Georgia-Fulton",2004,37,137.3,526.69,0.260684653211567,-1.34444382739506
