"Pesticide1","Pesticide2","SES_Variable","SES_P_value","Significant"
"XACETOCHLOR","XATRAZINE","Education.index",0.128353574462415,FALSE
"XACETOCHLOR","XATRAZINE","Income",0.834029044199122,FALSE
"XACETOCHLOR","XATRAZINE","home_value",0.848807546437722,FALSE
"XACETOCHLOR","XATRAZINE","rent",0.44531852979395,FALSE
"XACETOCHLOR","XATRAZINE","Poverty_150",0.999429538955491,FALSE
"XACETOCHLOR","XATRAZINE","Unemployed",0.219881211696464,FALSE
"XACETOCHLOR","XATRAZINE","Working_class",0.627484644660069,FALSE
"XACETOCHLOR","XDIAZINON","Education.index",0.0854888803325745,FALSE
"XACETOCHLOR","XDIAZINON","Income",0.822924038473419,FALSE
"XACETOCHLOR","XDIAZINON","home_value",0.796724421105545,FALSE
"XACETOCHLOR","XDIAZINON","rent",0.417050716863731,FALSE
"XACETOCHLOR","XDIAZINON","Poverty_150",0.572981579008105,FALSE
"XACETOCHLOR","XDIAZINON","Unemployed",0.122981133435845,FALSE
"XACETOCHLOR","XDIAZINON","Working_class",0.731801305880947,FALSE
"XACETOCHLOR","XESFENVALERATE","Education.index",0.102078647694297,FALSE
"XACETOCHLOR","XESFENVALERATE","Income",0.985580836107798,FALSE
"XACETOCHLOR","XESFENVALERATE","home_value",0.97839737551978,FALSE
"XACETOCHLOR","XESFENVALERATE","rent",0.37074653977858,FALSE
"XACETOCHLOR","XESFENVALERATE","Poverty_150",0.892095425439804,FALSE
"XACETOCHLOR","XESFENVALERATE","Unemployed",0.280350313177102,FALSE
"XACETOCHLOR","XESFENVALERATE","Working_class",0.554351354860019,FALSE
"XACETOCHLOR","XFENBUCONAZOLE","Education.index",0.0515305009835659,FALSE
"XACETOCHLOR","XFENBUCONAZOLE","Income",0.06515118428897,FALSE
"XACETOCHLOR","XFENBUCONAZOLE","home_value",0.0891897692566042,FALSE
"XACETOCHLOR","XFENBUCONAZOLE","rent",0.239618469684227,FALSE
"XACETOCHLOR","XFENBUCONAZOLE","Poverty_150",0.0260705218458845,TRUE
"XACETOCHLOR","XFENBUCONAZOLE","Unemployed",0.103262315683407,FALSE
"XACETOCHLOR","XFENBUCONAZOLE","Working_class",0.0622732127074643,FALSE
"XACETOCHLOR","XFLUMIOXAZIN","Education.index",0.535307754357699,FALSE
"XACETOCHLOR","XFLUMIOXAZIN","Income",0.944270001227099,FALSE
"XACETOCHLOR","XFLUMIOXAZIN","home_value",0.538087987557606,FALSE
"XACETOCHLOR","XFLUMIOXAZIN","rent",0.638263854778125,FALSE
"XACETOCHLOR","XFLUMIOXAZIN","Poverty_150",0.97754467029022,FALSE
"XACETOCHLOR","XFLUMIOXAZIN","Unemployed",0.0917733450390691,FALSE
"XACETOCHLOR","XFLUMIOXAZIN","Working_class",0.995380329068256,FALSE
"XACETOCHLOR","XGLYPHOSATE","Education.index",0.103823405838144,FALSE
"XACETOCHLOR","XGLYPHOSATE","Income",0.598871609862655,FALSE
"XACETOCHLOR","XGLYPHOSATE","home_value",0.511468174284998,FALSE
