"Pesticide","SES_Adjusted","Effect","P_value","N","N_SC","N_Time"
"Alachlor","No Adjustment",0.2744,"2.25e-03",1903,99,21
"Alachlor","Education index",0.2485,"4.50e-03",1903,99,21
"Alachlor","Household income",0.2745,"2.27e-03",1903,99,21
"Alachlor","House value",0.2301,"1.86e-02",1903,99,21
"Alachlor","Rent",0.2169,"2.35e-02",1903,99,21
"Alachlor","150% poverty (%)",0.2767,"4.06e-03",1903,99,21
"Alachlor","Unemployed (%)",0.3009,"4.96e-03",1903,99,21
"Alachlor","Working class (%)",0.2563,"5.47e-03",1903,99,21
"Atrazine","No Adjustment",0.2707,"8.95e-04",2013,102,21
"Atrazine","Education index",0.2375,"2.88e-03",2013,102,21
"Atrazine","Household income",0.2687,"9.80e-04",2013,102,21
"Atrazine","House value",0.245,"5.71e-03",2013,102,21
"Atrazine","Rent",0.2268,"9.93e-03",2013,102,21
"Atrazine","150% poverty (%)",0.2862,"1.02e-03",2013,102,21
"Atrazine","Unemployed (%)",0.3331,"5.61e-04",2013,102,21
"Atrazine","Working class (%)",0.2583,"2.07e-03",2013,102,21
"Bentazone","No Adjustment",0.2427,"1.32e-02",1765,92,21
"Bentazone","Education index",0.2219,"2.12e-02",1765,92,21
"Bentazone","Household income",0.2432,"1.27e-02",1765,92,21
"Bentazone","House value",0.2167,"3.10e-02",1765,92,21
"Bentazone","Rent",0.189,"6.00e-02",1765,92,21
"Bentazone","150% poverty (%)",0.2709,"1.08e-02",1765,92,21
"Bentazone","Unemployed (%)",0.262,"2.20e-02",1765,92,21
"Bentazone","Working class (%)",0.2211,"3.02e-02",1765,92,21
"Carbaryl","No Adjustment",0.2793,"1.74e-02",2038,103,21
"Carbaryl","Education index",0.2887,"1.05e-02",2038,103,21
"Carbaryl","Household income",0.3035,"1.02e-02",2038,103,21
"Carbaryl","House value",0.26,"2.61e-02",2038,103,21
"Carbaryl","Rent",0.2516,"3.00e-02",2038,103,21
"Carbaryl","150% poverty (%)",0.2885,"2.39e-02",2038,103,21
"Carbaryl","Unemployed (%)",0.2673,"3.87e-02",2038,103,21
"Carbaryl","Working class (%)",0.2693,"2.16e-02",2038,103,21
"Carbofuran","No Adjustment",0.3156,"1.81e-02",1728,102,19
"Carbofuran","Education index",0.2603,"4.80e-02",1728,102,19
"Carbofuran","Household income",0.3122,"2.00e-02",1728,102,19
"Carbofuran","House value",0.2464,"7.98e-02",1728,102,19
"Carbofuran","Rent",0.2221,"1.14e-01",1728,102,19
"Carbofuran","150% poverty (%)",0.3013,"2.58e-02",1728,102,19
"Carbofuran","Unemployed (%)",0.3142,"3.18e-02",1728,102,19
"Carbofuran","Working class (%)",0.2864,"3.67e-02",1728,102,19
"Chlorothalonil","No Adjustment",0.2654,"2.04e-02",1969,103,21
"Chlorothalonil","Education index",0.3419,"2.15e-03",1969,103,21
"Chlorothalonil","Household income",0.3479,"4.36e-03",1969,103,21
"Chlorothalonil","House value",0.3238,"4.76e-03",1969,103,21
"Chlorothalonil","Rent",0.3522,"1.95e-03",1969,103,21
"Chlorothalonil","150% poverty (%)",0.2643,"3.23e-02",1969,103,21
"Chlorothalonil","Unemployed (%)",0.2465,"3.80e-02",1969,103,21
"Chlorothalonil","Working class (%)",0.2827,"1.36e-02",1969,103,21
"Chlorpyrifos","No Adjustment",0.2979,"2.52e-02",2068,104,21
"Chlorpyrifos","Education index",0.26,"4.35e-02",2068,104,21
"Chlorpyrifos","Household income",0.2965,"2.57e-02",2068,104,21
"Chlorpyrifos","House value",0.2498,"6.64e-02",2068,104,21
"Chlorpyrifos","Rent",0.2146,"1.20e-01",2068,104,21
"Chlorpyrifos","150% poverty (%)",0.2919,"3.85e-02",2068,104,21
"Chlorpyrifos","Unemployed (%)",0.3134,"4.38e-02",2068,104,21
"Chlorpyrifos","Working class (%)",0.2453,"7.29e-02",2068,104,21
"Clethodim","No Adjustment",0.2891,"2.51e-02",1699,99,21
"Clethodim","Education index",0.2462,"5.22e-02",1699,99,21
"Clethodim","Household income",0.278,"3.28e-02",1699,99,21
"Clethodim","House value",0.2081,"1.38e-01",1699,99,21
"Clethodim","Rent",0.1608,"2.57e-01",1699,99,21
"Clethodim","150% poverty (%)",0.2848,"3.29e-02",1699,99,21
"Clethodim","Unemployed (%)",0.2896,"5.43e-02",1699,99,21
"Clethodim","Working class (%)",0.2624,"4.92e-02",1699,99,21
