"Pesticide","Adjustment","Effect","P_value","N_obs","N_SC","Effect_Non_Adj","Pvalue_Non_Adj"
"Alachlor","Atrazine",-0.062,"7.07e-01",1903,99,0.2744,"2.25e-03"
"Alachlor","Carbaryl",0.2296,"3.33e-02",1901,99,0.2707,"2.61e-03"
"Alachlor","Chlorothalonil",0.2509,"9.70e-03",1835,99,0.2859,"1.73e-03"
"Alachlor","Clopyralid",0.1397,"2.53e-01",1822,99,0.2734,"3.12e-03"
"Alachlor","Cyfluthrin",0.1096,"4.27e-01",1564,99,0.2607,"1.39e-02"
"Alachlor","Cyhalothrinlambda",0.1427,"3.41e-01",1694,99,0.2689,"6.24e-03"
"Alachlor","Diazinon",0.2117,"5.21e-02",1581,99,0.2796,"6.92e-03"
"Alachlor","Esfenvalerate",0.1657,"2.03e-01",1869,99,0.278,"2.34e-03"
"Alachlor","Glyphosate",-0.0326,"8.27e-01",1903,99,0.2744,"2.25e-03"
"Alachlor","Metolachlor",0.2813,"1.47e-01",1591,99,0.3961,"1.23e-04"
"Alachlor","Nicosulfuron",0.0617,"7.28e-01",1681,98,0.4226,"1.13e-04"
"Alachlor","Pendimethalin",0.2056,"1.31e-01",1903,99,0.2744,"2.25e-03"
"Alachlor","Picloram",0.2372,"1.83e-02",1725,99,0.2781,"3.48e-03"
"Alachlor","Propargite",0.1577,"1.16e-01",929,91,0.07,"4.94e-01"
"Alachlor","Sethoxydim",0.2428,"3.72e-02",1820,99,0.2982,"1.40e-03"
"Alachlor","Simazine",0.13,"3.48e-01",1691,99,0.351,"4.92e-04"
"Alachlor","Terbufos",0.3155,"1.46e-01",1586,99,0.3916,"7.34e-04"
"Alachlor","Dimethenamid",-0.1014,"6.46e-01",1583,99,0.329,"2.19e-03"
"Alachlor","Fenbuconazole",-0.0529,"6.86e-01",389,28,0.0295,"8.21e-01"
"Alachlor","Acetochlor",0.1818,"4.31e-01",1560,99,0.4187,"3.30e-04"
"Alachlor","Imidacloprid",0.2441,"3.35e-02",1470,99,0.2264,"2.38e-02"
"Alachlor","Rimsulfuron",0.0954,"5.86e-01",1464,99,0.3551,"3.01e-03"
"Alachlor","Glufosinate",0.0571,"7.56e-01",1343,97,0.377,"1.51e-03"
"Alachlor","Tebupirimphos",0.233,"4.26e-01",1116,79,0.543,"1.20e-03"
"Alachlor","Diflufenzopyr",0.1227,"5.53e-01",1176,97,0.3742,"5.35e-03"
"Alachlor","Flumioxazin",-0.3439,"2.39e-01",761,85,0.2499,"1.50e-01"
"Atrazine","Alachlor",0.3545,"2.74e-02",1906,102,0.3158,"2.54e-04"
"Atrazine","Carbaryl",0.2991,"4.83e-03",1995,102,0.2836,"6.03e-04"
"Atrazine","Chlorothalonil",0.2617,"3.40e-03",1928,102,0.2967,"3.22e-04"
"Atrazine","Clopyralid",0.1853,"1.04e-01",1903,102,0.2673,"1.74e-03"
"Atrazine","Cyfluthrin",0.2038,"1.58e-01",1582,101,0.2573,"9.30e-03"
"Atrazine","Cyhalothrinlambda",0.2532,"5.96e-02",1711,101,0.2555,"5.26e-03"
"Atrazine","Diazinon",0.2774,"4.84e-03",1682,102,0.3104,"9.89e-04"
"Atrazine","Esfenvalerate",0.1856,"1.55e-01",1937,100,0.2723,"1.59e-03"
"Atrazine","Glyphosate",0.0029,"9.86e-01",2013,102,0.2707,"8.95e-04"
"Atrazine","Metolachlor",0.5135,"1.09e-02",1654,102,0.3719,"4.84e-05"
"Atrazine","Nicosulfuron",0.137,"5.18e-01",1704,100,0.4203,"2.44e-05"
"Atrazine","Pendimethalin",0.2562,"4.57e-02",1997,102,0.2789,"7.00e-04"
"Atrazine","Picloram",0.2601,"4.70e-03",1831,102,0.276,"1.39e-03"
"Atrazine","Propargite",0.1058,"2.75e-01",1040,92,0.0667,"5.03e-01"
"Atrazine","Sethoxydim",0.2789,"1.01e-02",1890,102,0.2776,"1.08e-03"
"Atrazine","Simazine",0.2244,"1.13e-01",1737,102,0.3547,"9.76e-05"
"Atrazine","Terbufos",0.4801,"8.07e-03",1582,99,0.3751,"1.79e-04"
"Atrazine","Dimethenamid",0.3431,"1.23e-01",1554,100,0.3844,"1.94e-04"
"Atrazine","Fenbuconazole",-0.0342,"8.05e-01",408,29,0.0113,"9.36e-01"
"Atrazine","Acetochlor",0.4869,"3.57e-02",1526,101,0.414,"6.11e-05"
"Atrazine","Imidacloprid",0.279,"1.13e-02",1492,101,0.2391,"1.01e-02"
"Atrazine","Rimsulfuron",0.1735,"3.64e-01",1449,101,0.3984,"2.54e-04"
"Atrazine","Glufosinate",0.022,"9.18e-01",1301,99,0.3791,"7.67e-04"
"Atrazine","Tebupirimphos",0.404,"1.42e-01",1045,79,0.482,"6.57e-04"
"Atrazine","Diflufenzopyr",0.5427,"1.61e-02",1189,98,0.4448,"3.19e-04"
"Atrazine","Flumioxazin",-0.2142,"5.03e-01",745,90,0.2781,"1.03e-01"
"Carbaryl","Alachlor",0.1302,"3.84e-01",1898,100,0.3162,"1.16e-02"
"Carbaryl","Atrazine",-0.0024,"9.88e-01",1986,102,0.2783,"2.17e-02"
"Carbaryl","Chlorothalonil",0.2179,"1.07e-01",1954,103,0.3132,"8.91e-03"
"Carbaryl","Clopyralid",0.1594,"2.26e-01",1899,103,0.2774,"2.49e-02"
"Carbaryl","Cyfluthrin",0.1466,"3.32e-01",1603,101,0.2656,"5.36e-02"
"Carbaryl","Cyhalothrinlambda",0.1284,"4.01e-01",1729,102,0.2557,"5.03e-02"
"Carbaryl","Diazinon",0.1814,"2.07e-01",1722,103,0.2674,"4.97e-02"
"Carbaryl","Esfenvalerate",0.0672,"6.52e-01",1968,103,0.2656,"3.27e-02"
"Carbaryl","Glyphosate",-0.0015,"9.92e-01",2038,103,0.2793,"1.74e-02"
"Carbaryl","Metolachlor",0.1193,"4.62e-01",1654,102,0.3729,"5.42e-03"
"Carbaryl","Nicosulfuron",0.0519,"7.52e-01",1704,101,0.4095,"2.39e-03"
"Carbaryl","Pendimethalin",0.1501,"2.95e-01",2014,103,0.2916,"1.46e-02"
"Carbaryl","Picloram",0.2322,"7.72e-02",1826,100,0.2788,"2.79e-02"
"Carbaryl","Propargite",0.2509,"5.31e-02",1036,95,0.2174,"1.03e-01"
"Carbaryl","Sethoxydim",0.1918,"1.62e-01",1902,103,0.2808,"2.61e-02"
"Carbaryl","Simazine",0.0122,"9.40e-01",1768,103,0.3473,"7.32e-03"
"Carbaryl","Terbufos",0.1963,"2.44e-01",1583,99,0.39,"5.83e-03"
"Carbaryl","Dimethenamid",0.1103,"5.32e-01",1541,99,0.3765,"9.41e-03"
"Carbaryl","Fenbuconazole",0.1894,"3.50e-01",407,30,0.3791,"3.78e-02"
"Carbaryl","Acetochlor",0.2362,"1.66e-01",1505,99,0.4629,"1.10e-03"
"Carbaryl","Imidacloprid",0.3642,"1.17e-02",1526,102,0.3533,"7.96e-03"
"Carbaryl","Rimsulfuron",0.0974,"5.54e-01",1471,100,0.3207,"2.90e-02"
"Carbaryl","Glufosinate",0.039,"8.35e-01",1326,101,0.3584,"2.16e-02"
"Carbaryl","Tebupirimphos",0.175,"4.05e-01",1066,79,0.445,"1.19e-02"
"Carbaryl","Diflufenzopyr",0.1454,"4.29e-01",1184,98,0.3478,"3.18e-02"
"Carbaryl","Flumioxazin",0.2376,"3.88e-01",753,94,0.4893,"4.43e-02"
"Chlorothalonil","Alachlor",0.1681,"1.91e-01",1837,101,0.2933,"1.67e-02"
"Chlorothalonil","Atrazine",0.1261,"3.09e-01",1921,102,0.2797,"1.77e-02"
"Chlorothalonil","Carbaryl",0.1987,"1.19e-01",1952,103,0.2659,"2.16e-02"
"Chlorothalonil","Clopyralid",0.2274,"5.73e-02",1831,103,0.2666,"2.88e-02"
"Chlorothalonil","Cyfluthrin",0.2009,"1.40e-01",1546,101,0.2597,"5.36e-02"
"Chlorothalonil","Cyhalothrinlambda",0.1678,"2.12e-01",1674,102,0.2429,"5.96e-02"
"Chlorothalonil","Diazinon",0.1928,"1.37e-01",1660,103,0.2605,"3.48e-02"
"Chlorothalonil","Esfenvalerate",0.085,"5.12e-01",1907,102,0.244,"4.03e-02"
"Chlorothalonil","Glyphosate",0.1409,"2.24e-01",1969,103,0.2654,"2.04e-02"
"Chlorothalonil","Metolachlor",0.1407,"2.97e-01",1605,103,0.3072,"1.84e-02"
"Chlorothalonil","Nicosulfuron",0.1712,"2.00e-01",1642,101,0.3635,"5.93e-03"
"Chlorothalonil","Pendimethalin",0.1732,"1.49e-01",1959,103,0.2697,"1.91e-02"
"Chlorothalonil","Picloram",0.2466,"6.15e-02",1746,101,0.2807,"3.18e-02"
"Chlorothalonil","Propargite",0.2946,"1.98e-02",1026,94,0.221,"8.68e-02"
"Chlorothalonil","Sethoxydim",0.1454,"2.36e-01",1845,103,0.2216,"6.59e-02"
"Chlorothalonil","Simazine",0.154,"2.52e-01",1706,103,0.3256,"1.28e-02"
"Chlorothalonil","Terbufos",0.2326,"1.03e-01",1523,99,0.3557,"1.01e-02"
"Chlorothalonil","Dimethenamid",0.2152,"1.42e-01",1487,100,0.355,"1.30e-02"
"Chlorothalonil","Fenbuconazole",0.0619,"6.65e-01",403,29,0.1869,"1.72e-01"
"Chlorothalonil","Acetochlor",0.249,"8.36e-02",1460,100,0.3799,"7.23e-03"
"Chlorothalonil","Imidacloprid",0.2911,"4.14e-02",1514,102,0.2663,"4.12e-02"
