"Pesticide","Adjustment","SES_Adjustment","Effect","P_value","N_obs","N_Years","N_SC"
"Atrazine","Esfenvalerate","No Adjustment",0.2723,"1.59e-03",1937,21,100
"Atrazine","Esfenvalerate","Only Pesticide",0.1856,"1.55e-01",1937,21,100
"Atrazine","Esfenvalerate","Education index",0.1394,"2.82e-01",1937,21,100
"Atrazine","Esfenvalerate","Household income",0.1653,"2.10e-01",1937,21,100
"Atrazine","Esfenvalerate","House value",0.137,"3.28e-01",1937,21,100
"Atrazine","Esfenvalerate","Rent",0.1012,"4.71e-01",1937,21,100
"Atrazine","Esfenvalerate","150% poverty (%)",0.2045,"1.26e-01",1937,21,100
"Atrazine","Esfenvalerate","Unemployed (%)",0.255,"7.40e-02",1937,21,100
"Atrazine","Esfenvalerate","Working class (%)",0.161,"2.33e-01",1937,21,100
"Atrazine","Esfenvalerate",NA,0.1394,"2.82e-01",1937,21,100
"Atrazine","Glyphosate","No Adjustment",0.2707,"8.95e-04",2013,21,102
"Atrazine","Glyphosate","Only Pesticide",0.0029,"9.86e-01",2013,21,102
"Atrazine","Glyphosate","Education index",-0.054,"7.39e-01",2013,21,102
"Atrazine","Glyphosate","Household income",0.0055,"9.73e-01",2013,21,102
"Atrazine","Glyphosate","House value",-0.0019,"9.91e-01",2013,21,102
"Atrazine","Glyphosate","Rent",-6e-04,"9.97e-01",2013,21,102
"Atrazine","Glyphosate","150% poverty (%)",0.0176,"9.15e-01",2013,21,102
"Atrazine","Glyphosate","Unemployed (%)",0.0478,"7.71e-01",2013,21,102
"Atrazine","Glyphosate","Working class (%)",0.0029,"9.86e-01",2013,21,102
"Atrazine","Glyphosate",NA,-0.054,"7.39e-01",2013,21,102
"Atrazine","Nicosulfuron","No Adjustment",0.4203,"2.44e-05",1704,21,100
"Atrazine","Nicosulfuron","Only Pesticide",0.137,"5.18e-01",1704,21,100
"Atrazine","Nicosulfuron","Education index",0.0911,"6.68e-01",1704,21,100
"Atrazine","Nicosulfuron","Household income",0.1358,"5.22e-01",1704,21,100
"Atrazine","Nicosulfuron","House value",0.1284,"5.50e-01",1704,21,100
