"SC","variable","Pesticide"
"California-Alameda",1992,"2,4-D"
"California-Alameda",1993,"2,4-D"
"California-Alameda",1994,"2,4-D"
"California-Alameda",1995,"2,4-D"
"California-Alameda",1996,"2,4-D"
"California-Alameda",1997,"2,4-D"
"California-Alameda",1998,"2,4-D"
"California-Alameda",1999,"2,4-D"
"California-Alameda",2000,"2,4-D"
"California-Alameda",2001,"2,4-D"
"California-Alameda",2002,"2,4-D"
"California-Alameda",2003,"2,4-D"
"California-Alameda",2004,"2,4-D"
"California-Alameda",2005,"2,4-D"
"California-Alameda",2006,"2,4-D"
"California-Alameda",2007,"2,4-D"
"California-Alameda",2008,"2,4-D"
"California-Alameda",2009,"2,4-D"
"California-Alameda",2010,"2,4-D"
"California-Alameda",2011,"2,4-D"
"California-Alameda",2012,"2,4-D"
"California-Contra Costa",1992,"2,4-D"
"California-Contra Costa",1993,"2,4-D"
"California-Contra Costa",1994,"2,4-D"
"California-Contra Costa",1995,"2,4-D"
"California-Contra Costa",1996,"2,4-D"
"California-Contra Costa",1997,"2,4-D"
"California-Contra Costa",1998,"2,4-D"
"California-Contra Costa",1999,"2,4-D"
"California-Contra Costa",2000,"2,4-D"
"California-Contra Costa",2001,"2,4-D"
"California-Contra Costa",2002,"2,4-D"
"California-Contra Costa",2003,"2,4-D"
"California-Contra Costa",2004,"2,4-D"
"California-Contra Costa",2005,"2,4-D"
"California-Contra Costa",2006,"2,4-D"
"California-Contra Costa",2007,"2,4-D"
"California-Contra Costa",2008,"2,4-D"
"California-Contra Costa",2009,"2,4-D"
"California-Contra Costa",2010,"2,4-D"
"California-Contra Costa",2011,"2,4-D"
"California-Contra Costa",2012,"2,4-D"
"California-Monterey",1992,"2,4-D"
"California-Monterey",1993,"2,4-D"
"California-Monterey",1994,"2,4-D"
"California-Monterey",1995,"2,4-D"
"California-Monterey",1996,"2,4-D"
"California-Monterey",1997,"2,4-D"
"California-Monterey",1998,"2,4-D"
"California-Monterey",1999,"2,4-D"
"California-Monterey",2000,"2,4-D"
"California-Monterey",2001,"2,4-D"
"California-Monterey",2002,"2,4-D"
"California-Monterey",2003,"2,4-D"
"California-Monterey",2004,"2,4-D"
"California-Monterey",2005,"2,4-D"
"California-Monterey",2006,"2,4-D"
"California-Monterey",2007,"2,4-D"
"California-Monterey",2008,"2,4-D"
"California-Monterey",2009,"2,4-D"
"California-Monterey",2010,"2,4-D"
"California-Monterey",2011,"2,4-D"
"California-Monterey",2012,"2,4-D"
"California-San Benito",1992,"2,4-D"
"California-San Benito",1993,"2,4-D"
"California-San Benito",1994,"2,4-D"
"California-San Benito",1995,"2,4-D"
"California-San Benito",1996,"2,4-D"
"California-San Benito",1997,"2,4-D"
"California-San Benito",1998,"2,4-D"
"California-San Benito",1999,"2,4-D"
"California-San Benito",2000,"2,4-D"
"California-San Benito",2001,"2,4-D"
"California-San Benito",2002,"2,4-D"
"California-San Benito",2003,"2,4-D"
"California-San Benito",2004,"2,4-D"
"California-San Benito",2005,"2,4-D"
"California-San Benito",2006,"2,4-D"
"California-San Benito",2007,"2,4-D"
"California-San Benito",2008,"2,4-D"
"California-San Benito",2009,"2,4-D"
"California-San Benito",2010,"2,4-D"
"California-San Benito",2011,"2,4-D"
"California-San Benito",2012,"2,4-D"
"California-San Mateo",1992,"2,4-D"
"California-San Mateo",1993,"2,4-D"
"California-San Mateo",1994,"2,4-D"
"California-San Mateo",1995,"2,4-D"
"California-San Mateo",1996,"2,4-D"
"California-San Mateo",1997,"2,4-D"
"California-San Mateo",1998,"2,4-D"
"California-San Mateo",1999,"2,4-D"
"California-San Mateo",2000,"2,4-D"
"California-San Mateo",2001,"2,4-D"
"California-San Mateo",2002,"2,4-D"
"California-San Mateo",2003,"2,4-D"
"California-San Mateo",2004,"2,4-D"
"California-San Mateo",2005,"2,4-D"
"California-San Mateo",2006,"2,4-D"
"California-San Mateo",2007,"2,4-D"
"California-San Mateo",2008,"2,4-D"
"California-San Mateo",2009,"2,4-D"
"California-San Mateo",2010,"2,4-D"
"California-San Mateo",2011,"2,4-D"
"California-San Mateo",2012,"2,4-D"
"California-Santa Clara",1992,"2,4-D"
"California-Santa Clara",1993,"2,4-D"
"California-Santa Clara",1994,"2,4-D"
"California-Santa Clara",1995,"2,4-D"
"California-Santa Clara",1996,"2,4-D"
"California-Santa Clara",1997,"2,4-D"
"California-Santa Clara",1998,"2,4-D"
"California-Santa Clara",1999,"2,4-D"
"California-Santa Clara",2000,"2,4-D"
"California-Santa Clara",2001,"2,4-D"
"California-Santa Clara",2002,"2,4-D"
"California-Santa Clara",2003,"2,4-D"
"California-Santa Clara",2004,"2,4-D"
"California-Santa Clara",2005,"2,4-D"
"California-Santa Clara",2006,"2,4-D"
"California-Santa Clara",2007,"2,4-D"
"California-Santa Clara",2008,"2,4-D"
"California-Santa Clara",2009,"2,4-D"
"California-Santa Clara",2010,"2,4-D"
"California-Santa Clara",2011,"2,4-D"
"California-Santa Clara",2012,"2,4-D"
"Connecticut-Fairfield",1992,"2,4-D"
"Connecticut-Fairfield",1993,"2,4-D"
"Connecticut-Fairfield",1994,"2,4-D"
"Connecticut-Fairfield",1995,"2,4-D"
"Connecticut-Fairfield",1996,"2,4-D"
"Connecticut-Fairfield",1997,"2,4-D"
"Connecticut-Fairfield",1998,"2,4-D"
"Connecticut-Fairfield",1999,"2,4-D"
"Connecticut-Fairfield",2000,"2,4-D"
"Connecticut-Fairfield",2001,"2,4-D"
"Connecticut-Fairfield",2002,"2,4-D"
"Connecticut-Fairfield",2003,"2,4-D"
"Connecticut-Fairfield",2004,"2,4-D"
"Connecticut-Fairfield",2005,"2,4-D"
"Connecticut-Fairfield",2006,"2,4-D"
"Connecticut-Fairfield",2007,"2,4-D"
"Connecticut-Fairfield",2008,"2,4-D"
"Connecticut-Fairfield",2009,"2,4-D"
"Connecticut-Fairfield",2010,"2,4-D"
"Connecticut-Fairfield",2011,"2,4-D"
"Connecticut-Fairfield",2012,"2,4-D"
"Connecticut-Hartford",1992,"2,4-D"
"Connecticut-Hartford",1993,"2,4-D"
"Connecticut-Hartford",1994,"2,4-D"
"Connecticut-Hartford",1995,"2,4-D"
"Connecticut-Hartford",1996,"2,4-D"
"Connecticut-Hartford",1997,"2,4-D"
"Connecticut-Hartford",1998,"2,4-D"
"Connecticut-Hartford",1999,"2,4-D"
"Connecticut-Hartford",2000,"2,4-D"
"Connecticut-Hartford",2001,"2,4-D"
"Connecticut-Hartford",2002,"2,4-D"
"Connecticut-Hartford",2003,"2,4-D"
"Connecticut-Hartford",2004,"2,4-D"
"Connecticut-Hartford",2005,"2,4-D"
"Connecticut-Hartford",2006,"2,4-D"
"Connecticut-Hartford",2007,"2,4-D"
"Connecticut-Hartford",2008,"2,4-D"
"Connecticut-Hartford",2009,"2,4-D"
"Connecticut-Hartford",2010,"2,4-D"
"Connecticut-Hartford",2011,"2,4-D"
"Connecticut-Hartford",2012,"2,4-D"
"Connecticut-Litchfield",1992,"2,4-D"
"Connecticut-Litchfield",1993,"2,4-D"
"Connecticut-Litchfield",1994,"2,4-D"
"Connecticut-Litchfield",1995,"2,4-D"
"Connecticut-Litchfield",1996,"2,4-D"
"Connecticut-Litchfield",1997,"2,4-D"
"Connecticut-Litchfield",1998,"2,4-D"
"Connecticut-Litchfield",1999,"2,4-D"
"Connecticut-Litchfield",2000,"2,4-D"
"Connecticut-Litchfield",2001,"2,4-D"
"Connecticut-Litchfield",2002,"2,4-D"
"Connecticut-Litchfield",2003,"2,4-D"
"Connecticut-Litchfield",2004,"2,4-D"
"Connecticut-Litchfield",2005,"2,4-D"
"Connecticut-Litchfield",2006,"2,4-D"
"Connecticut-Litchfield",2007,"2,4-D"
"Connecticut-Litchfield",2008,"2,4-D"
"Connecticut-Litchfield",2009,"2,4-D"
"Connecticut-Litchfield",2010,"2,4-D"
"Connecticut-Litchfield",2011,"2,4-D"
"Connecticut-Litchfield",2012,"2,4-D"
"Connecticut-Middlesex",1992,"2,4-D"
"Connecticut-Middlesex",1993,"2,4-D"
"Connecticut-Middlesex",1994,"2,4-D"
"Connecticut-Middlesex",1995,"2,4-D"
"Connecticut-Middlesex",1996,"2,4-D"
"Connecticut-Middlesex",1997,"2,4-D"
"Connecticut-Middlesex",1998,"2,4-D"
"Connecticut-Middlesex",1999,"2,4-D"
"Connecticut-Middlesex",2000,"2,4-D"
"Connecticut-Middlesex",2001,"2,4-D"
"Connecticut-Middlesex",2002,"2,4-D"
"Connecticut-Middlesex",2003,"2,4-D"
"Connecticut-Middlesex",2004,"2,4-D"
"Connecticut-Middlesex",2005,"2,4-D"
"Connecticut-Middlesex",2006,"2,4-D"
"Connecticut-Middlesex",2007,"2,4-D"
"Connecticut-Middlesex",2008,"2,4-D"
"Connecticut-Middlesex",2009,"2,4-D"
"Connecticut-Middlesex",2010,"2,4-D"
"Connecticut-Middlesex",2011,"2,4-D"
"Connecticut-Middlesex",2012,"2,4-D"
"Connecticut-New Haven",1992,"2,4-D"
"Connecticut-New Haven",1993,"2,4-D"
"Connecticut-New Haven",1994,"2,4-D"
"Connecticut-New Haven",1995,"2,4-D"
"Connecticut-New Haven",1996,"2,4-D"
"Connecticut-New Haven",1997,"2,4-D"
"Connecticut-New Haven",1998,"2,4-D"
"Connecticut-New Haven",1999,"2,4-D"
"Connecticut-New Haven",2000,"2,4-D"
"Connecticut-New Haven",2001,"2,4-D"
"Connecticut-New Haven",2002,"2,4-D"
"Connecticut-New Haven",2003,"2,4-D"
"Connecticut-New Haven",2004,"2,4-D"
"Connecticut-New Haven",2005,"2,4-D"
"Connecticut-New Haven",2006,"2,4-D"
"Connecticut-New Haven",2007,"2,4-D"
"Connecticut-New Haven",2008,"2,4-D"
"Connecticut-New Haven",2009,"2,4-D"
"Connecticut-New Haven",2010,"2,4-D"
"Connecticut-New Haven",2011,"2,4-D"
"Connecticut-New Haven",2012,"2,4-D"
"Connecticut-New London",1992,"2,4-D"
"Connecticut-New London",1993,"2,4-D"
"Connecticut-New London",1994,"2,4-D"
