"Beta","CI_L","CI_H","pval","study","name"
"0.390016550687762","0.109924572231667","0.670108529143856","0.00634941221209724","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","CHLORDANE"
"0.38713220793573","0.0893736876849806","0.684890728186479","0.0108262732480658","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","MESOTRIONE"
"-0.163628813344971","-0.443181027763057","0.115923401073116","0.251292644577051","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","NO2"
"0.532354282213446","0.224577187424288","0.840131377002605","0.000698670571168801","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","PICLORAM"
"0.0645348595057719","-0.240276355811939","0.369346074823483","0.67816749050775","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","dicamba"
"0.246158563783372","-0.318471394139237","0.810788521705982","0.392842114358471","EMTAB3027,EMTAB7036,GSE101764,GSE39958,GSE42752,READ","PCB"
"-0.126576145569941","-0.448283644006211","0.195131352866329","0.440618120426129","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","pm2_510"
"-0.348862691313053","-0.667368159648278","-0.030357222977829","0.0318115152065654","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","GLYPHOSATE"
"-0.235283518306932","-0.56942823233601","0.0988611957221471","0.167561291116768","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","HEPTACHLOR"
"-0.574208704361677","-0.873137123496913","-0.275280285226442","0.000166631866264461","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","ATRAZINE"
"-0.372475192455918","-0.673183675321781","-0.0717667095900554","0.0151937949051715","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","BMI"
"-0.116263018265507","-0.414408685334645","0.181882648803631","0.444691292641894","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","LINDANE"
"-0.494767252624289","-0.815738337198461","-0.173796168050116","0.00251753869392675","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","pm2_5"
"0.0270979911293074","-0.259813013318837","0.314008995577452","0.853140050187924","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","birthweight"
"-0.216504188905236","-0.504857837534468","0.0718494597239965","0.141129690735628","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","smoking"
"-0.324644842914651","-0.648589527601742","-0.00070015822756031","0.0495068848559713","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","A_2_4_D"
"0.0353367729675318","-0.264843725313074","0.335517271248138","0.817529338347133","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","AHEI"
"0.000306088070210829","-0.295522833825385","0.296135009965806","0.998381943705306","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","MALATHION"
"-0.219277542841758","-0.518296140793735","0.0797410551102188","0.150635945406194","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","Obesity"
"-0.00929638410108732","-0.293359320131442","0.274766551929267","0.948856561955321","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","Alcohol"
"-0.131480546467305","-0.425501662283415","0.162540569348806","0.380781142645366","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","METOLACHLOR"
"0.146642070211868","-0.171659096606963","0.464943237030699","0.3665472002779","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","ACETOCHLOR"
"-0.508820415755918","-0.827940957445198","-0.189699874066638","0.00177770974969401","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","pm10"
"-0.0329012073797819","-0.333705352943489","0.267902938183925","0.83025387657201","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","MDS"
"-0.0780124970889903","-0.378342348173184","0.222317353995203","0.610673362765393","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE39958,GSE42752,GSE77954,READ","TOXAPHENE"
"0.01811753253805","-0.326146263075829","0.362381328151929","0.917846456540817","EMTAB3027,EMTAB7036,GSE101764,GSE39958,GSE42752,GSE77954,READ","DDT"
