"Beta","CI_L","CI_H","pval","study","name"
"0.745034838479463","0.0806359944058602","1.40943368255307","0.0279606069308157","GSE39958,READ","smoking_sm13"
"-0.415528118230648","-1.0183711217503","0.187314885289","0.176706459689592","GSE39958,READ","BMI"
"-0.473071689973751","-1.07192252328968","0.125779143342176","0.12154898771233","GSE39958,READ","education"
"0.502149556956893","-0.069181650123791","1.07348076403758","0.084954579209512","GSE39958,READ","PICLORAM"
"0.691647622479673","0.0370158619174961","1.34627938304185","0.0383784927651997","GSE39958,READ","METOLACHLOR"
"-0.582882848610059","-1.18000391109227","0.0142382138721564","0.0557187302356113","GSE39958,READ","MDS"
"-0.201158603466205","-0.756864620889387","0.354547413956977","0.4780251929582","GSE39958,READ","dicamba"
"-0.112123123323092","-0.710036957145353","0.485790710499169","0.713216219462335","GSE39958,READ","AHEI"
"-0.0958324733453719","-0.640460601158663","0.448795654467919","0.730188938560716","GSE39958,READ","Obesity"
"-0.931518561557693","-2.00070134349241","0.137664220377027","0.0877094920340354","GSE39958,READ","PCB"
"0.0158915848235155","-0.609403707550088","0.641186877197119","0.960272554651707","GSE39958,READ","NO2"
"-0.664987775458257","-1.25479532048422","-0.0751802304322914","0.0271195899568971","GSE39958,READ","pm2_5"
"0.0244186524798431","-0.525208254770383","0.574045559730069","0.930610571622645","GSE39958,READ","ACETOCHLOR"
"-0.102185420503111","-0.661130783209162","0.456759942202939","0.720105938911323","GSE39958,READ","MESOTRIONE"
"-0.677126034839661","-1.2824419115419","-0.0718101581374188","0.0283449028640535","GSE39958,READ","pm10"
"-0.0931297500420395","-0.659952309588271","0.473692809504192","0.747433860500012","GSE39958,READ","Alcohol"
"-0.0188929349975389","-0.56136171838766","0.523575848392582","0.94557785371617","GSE39958,READ","HEPTACHLOR"
"0.0963435867272607","-0.461349127681657","0.654036301136178","0.73491755782319","GSE39958,READ","smoking"
"0.28918648200236","-0.278095129619151","0.856468093623871","0.317725732260595","GSE39958,READ","coffee"
