"","CpG","Beta","SE","P","FDR","Trait","threshold"
"1","cg00919585",-0.002025675,0.000377268,7.9e-08,0.009951597,"ACETOCHLOR","GW"
"2","cg04108706",0.017024387,0.003093236,3.72e-08,0.00702234,"ACETOCHLOR","GW"
"3","cg08165462",0.012694364,0.002240665,1.47e-08,0.004452228,"ACETOCHLOR","GW"
"4","cg10252897",0.008450344,0.001555526,5.56e-08,0.008398068,"ACETOCHLOR","GW"
"5","cg18181703",0.0038,5e-04,2e-12,NA,"AHEI","GW"
"6","cg16969872",0.0032,5e-04,3e-09,NA,"AHEI","GW"
"7","cg27118035",-0.0028,5e-04,4.9e-09,NA,"AHEI","GW"
"8","cg25953130",0.0044,8e-04,1.2e-08,NA,"AHEI","GW"
"9","cg16936953",0.0042,7e-04,1.5e-08,NA,"AHEI","GW"
"10","cg03190891",-0.0025,5e-04,9e-08,NA,"AHEI","GW"
"11","cg02583484",-0.000394498,4.36e-05,1.5e-19,NA,"Alcohol","GW"
"12","cg13729116",-0.000178244,2.07e-05,6.52e-18,NA,"Alcohol","GW"
"13","cg05593667",-0.000252447,3.09e-05,4.44e-16,NA,"Alcohol","GW"
"14","cg15253293",-0.000140199,1.75e-05,1.11e-15,NA,"Alcohol","GW"
"15","cg21626848",-0.000226796,2.87e-05,3.11e-15,NA,"Alcohol","GW"
"16","cg03523740",-0.000216633,2.76e-05,4.44e-15,NA,"Alcohol","GW"
"17","cg11194994",-0.000171208,2.2e-05,7.33e-15,NA,"Alcohol","GW"
"18","cg06603309",0.000166897,2.19e-05,2.71e-14,NA,"Alcohol","GW"
"19","cg06469895",-0.000204884,2.77e-05,1.52e-13,NA,"Alcohol","GW"
"20","cg19266329",-0.000278274,3.77e-05,1.65e-13,NA,"Alcohol","GW"
"21","cg23654112",-0.000137164,1.88e-05,3e-13,NA,"Alcohol","GW"
"22","cg08916477",-0.000162837,2.24e-05,4.02e-13,NA,"Alcohol","GW"
"23","cg03599037",-0.000136129,1.88e-05,4.51e-13,NA,"Alcohol","GW"
"24","cg06189038",-0.000160345,2.22e-05,4.57e-13,NA,"Alcohol","GW"
"25","cg09737197",-0.00016211,2.24e-05,5.03e-13,NA,"Alcohol","GW"
"26","cg16705273",-0.000250798,3.47e-05,5.28e-13,NA,"Alcohol","GW"
"27","cg05413305",-0.000256816,3.56e-05,5.35e-13,NA,"Alcohol","GW"
"28","cg17058475",-0.000161893,2.26e-05,8.5e-13,NA,"Alcohol","GW"
"29","cg11376147",-0.00025796,3.62e-05,9.8e-13,NA,"Alcohol","GW"
"30","cg00574412",-0.000166419,2.34e-05,1.13e-12,NA,"Alcohol","GW"
"31","cg09448652",-0.000257449,3.63e-05,1.27e-12,NA,"Alcohol","GW"
"32","cg20732076",-0.000146791,2.07e-05,1.46e-12,NA,"Alcohol","GW"
"33","cg16246545",-0.000605981,8.57e-05,1.54e-12,NA,"Alcohol","GW"
"34","cg24217948",-0.000276498,3.94e-05,2.14e-12,NA,"Alcohol","GW"
"35","cg19238380",-0.000294514,4.2e-05,2.24e-12,NA,"Alcohol","GW"
"36","cg25518868",-0.000123052,1.75e-05,2.28e-12,NA,"Alcohol","GW"
"37","cg07502661",-0.000187111,2.67e-05,2.6e-12,NA,"Alcohol","GW"
"38","cg27514333",-0.000156941,2.25e-05,2.77e-12,NA,"Alcohol","GW"
"39","cg13127741",-0.000229919,3.3e-05,3.1e-12,NA,"Alcohol","GW"
"40","cg20970369",-0.000227381,3.26e-05,3.23e-12,NA,"Alcohol","GW"
"41","cg00883689",-0.000284744,4.09e-05,3.23e-12,NA,"Alcohol","GW"
"42","cg08677210",-0.000134156,1.93e-05,3.32e-12,NA,"Alcohol","GW"
"43","cg21439672",-0.000297026,4.27e-05,3.7e-12,NA,"Alcohol","GW"
"44","cg02104962",-0.000228001,3.3e-05,4.97e-12,NA,"Alcohol","GW"
"45","cg01979157",-0.000156298,2.27e-05,5.94e-12,NA,"Alcohol","GW"
"46","cg07251887",-0.000282616,4.13e-05,7.56e-12,NA,"Alcohol","GW"
"47","cg05649922",-0.000210145,3.07e-05,7.67e-12,NA,"Alcohol","GW"
"48","cg14482712",-0.000178625,2.61e-05,7.71e-12,NA,"Alcohol","GW"
"49","cg17185710",-0.000212375,3.11e-05,8.1e-12,NA,"Alcohol","GW"
"50","cg05512483",-0.000345024,5.07e-05,9.89e-12,NA,"Alcohol","GW"
