"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg00004089",-0.000354171,5.09e-05,3.36e-12,3.6e-11,"BMI","F001"
"cg00046744",0.000384981,8.63e-05,8.16e-06,1.36e-05,"BMI","F001"
"cg00050692",-0.000382079,8.41e-05,5.57e-06,9.59e-06,"BMI","F001"
"cg00073460",-0.000747853,0.000187329,6.55e-05,8.9e-05,"BMI","F001"
"cg00094412",-0.00046845,9.41e-05,6.5e-07,1.38e-06,"BMI","F001"
"cg00108715",0.000406132,8.26e-05,8.76e-07,1.82e-06,"BMI","F001"
"cg00134210",-0.00022376,4.17e-05,8.33e-08,2.32e-07,"BMI","F001"
"cg00138407",0.000461384,9.19e-05,5.14e-07,1.14e-06,"BMI","F001"
"cg00144180",0.000513485,8.93e-05,8.83e-09,3.1e-08,"BMI","F001"
"cg00222799",0.000480753,0.00011552,3.16e-05,4.59e-05,"BMI","F001"
"cg00238353",0.000684068,0.000113806,1.85e-09,8.12e-09,"BMI","F001"
"cg00244001",-0.00029201,6e-05,1.13e-06,2.31e-06,"BMI","F001"
"cg00259097",0.000341019,6.6e-05,2.38e-07,5.8e-07,"BMI","F001"
"cg00277397",-0.00051134,0.000102202,5.64e-07,1.23e-06,"BMI","F001"
"cg00295485",0.00068452,0.000127853,8.61e-08,2.38e-07,"BMI","F001"
"cg00328058",0.000342331,9.57e-05,0.000348514,0.000421443,"BMI","F001"
"cg00376553",0.000582108,0.000107856,6.77e-08,1.94e-07,"BMI","F001"
"cg00407944",0.000196195,5.74e-05,0.000630418,0.00074021,"BMI","F001"
"cg00417304",-0.000391475,0.000106445,0.000235339,0.00029104,"BMI","F001"
"cg00431050",-0.000382557,7.48e-05,3.12e-07,7.34e-07,"BMI","F001"
"cg00441709",0.000487425,0.000128781,0.000153762,0.000195953,"BMI","F001"
"cg00442282",-0.000186706,3.49e-05,8.44e-08,2.35e-07,"BMI","F001"
"cg00472758",0.000378785,9.04e-05,2.76e-05,4.09e-05,"BMI","F001"
"cg00508575",0.000381525,8.39e-05,5.42e-06,9.36e-06,"BMI","F001"
"cg00547480",0.000539738,7.07e-05,2.27e-14,4.38e-13,"BMI","F001"
"cg00574958",-0.000650544,4.91e-05,4.57e-40,2.87e-37,"BMI","F001"
"cg00583068",0.000495237,0.000121878,4.84e-05,6.72e-05,"BMI","F001"
"cg00585790",0.000316324,7.06e-05,7.43e-06,1.24e-05,"BMI","F001"
"cg00602326",-0.000614044,9.38e-05,5.99e-11,4.34e-10,"BMI","F001"
"cg00607627",-0.000535958,7.71e-05,3.67e-12,3.87e-11,"BMI","F001"
"cg00634542",0.000439276,0.000107074,4.09e-05,5.82e-05,"BMI","F001"
"cg00673344",-0.000411487,0.000105548,9.68e-05,0.000127062,"BMI","F001"
"cg00701514",0.000146782,4.16e-05,0.000420831,0.000502592,"BMI","F001"
"cg00701951",-0.000815859,0.000119687,9.32e-12,8.59e-11,"BMI","F001"
"cg00705661",0.000255435,4.56e-05,2.18e-08,6.95e-08,"BMI","F001"
"cg00711896",0.000213677,5.94e-05,0.000325064,0.000394608,"BMI","F001"
"cg00714874",-0.000459613,8.14e-05,1.64e-08,5.34e-08,"BMI","F001"
"cg00718518",-0.000407186,8.49e-05,1.64e-06,3.2e-06,"BMI","F001"
"cg00741986",-0.000642931,0.000100493,1.58e-10,1e-09,"BMI","F001"
"cg00748195",-0.000575788,0.000105141,4.34e-08,1.29e-07,"BMI","F001"
"cg00760203",0.000376957,7.07e-05,9.57e-08,2.59e-07,"BMI","F001"
"cg00812761",0.000330918,8.86e-05,0.000186717,0.000236269,"BMI","F001"
"cg00821731",0.000394162,9.98e-05,7.84e-05,0.000104452,"BMI","F001"
"cg00826902",0.000593207,8.67e-05,7.68e-12,7.34e-11,"BMI","F001"
"cg00851028",0.00050804,8.32e-05,1.01e-09,4.89e-09,"BMI","F001"
"cg00863378",0.000460029,9.71e-05,2.18e-06,4.12e-06,"BMI","F001"
"cg00916899",0.000385619,8.15e-05,2.25e-06,4.23e-06,"BMI","F001"
"cg00921350",-0.000427097,9.53e-05,7.36e-06,1.23e-05,"BMI","F001"
"cg00937359",0.000383252,8.95e-05,1.83e-05,2.82e-05,"BMI","F001"
"cg00945209",-0.000259512,7.29e-05,0.000370579,0.000445976,"BMI","F001"
"cg00973118",0.000450286,0.000115113,9.17e-05,0.000121243,"BMI","F001"
"cg00994936",0.000468238,7.13e-05,5.26e-11,3.93e-10,"BMI","F001"
"cg01004980",0.000614467,8.69e-05,1.54e-12,1.85e-11,"BMI","F001"
"cg01020263",-0.000393801,0.000106628,0.000221437,0.000275478,"BMI","F001"
"cg01040624",0.000269103,5.25e-05,2.93e-07,6.97e-07,"BMI","F001"
"cg01101459",0.00076785,8.73e-05,1.44e-18,7.23e-17,"BMI","F001"
"cg01115923",-0.000256073,5.34e-05,1.64e-06,3.2e-06,"BMI","F001"
"cg01117339",-0.000527989,8.85e-05,2.39e-09,1.01e-08,"BMI","F001"
"cg01127300",-0.000672409,0.000164936,4.57e-05,6.4e-05,"BMI","F001"
"cg01130991",0.001006066,9.35e-05,5.54e-27,1.39e-24,"BMI","F001"
"cg01172150",0.000358043,6.99e-05,3.07e-07,7.25e-07,"BMI","F001"
"cg01172899",0.000517386,8.54e-05,1.39e-09,6.45e-09,"BMI","F001"
"cg01176028",0.000488104,7.69e-05,2.25e-10,1.35e-09,"BMI","F001"
"cg01180628",-0.000472376,9.53e-05,7.24e-07,1.52e-06,"BMI","F001"
"cg01231543",-0.000582771,9.09e-05,1.41e-10,9.28e-10,"BMI","F001"
"cg01242348",0.000287058,5.74e-05,5.6e-07,1.22e-06,"BMI","F001"
"cg01243072",-0.000435743,0.000130877,0.000870328,0.00100868,"BMI","F001"
"cg01243823",-0.00106542,0.000149851,1.16e-12,1.5e-11,"BMI","F001"
"cg01304182",0.0002188,7.38e-05,0.003012836,0.003311215,"BMI","F001"
"cg01316152",-0.000291498,8.02e-05,0.000276146,0.000339164,"BMI","F001"
"cg01317029",0.000473882,6.42e-05,1.6e-13,2.47e-12,"BMI","F001"
"cg01352090",0.00028496,6.03e-05,2.32e-06,4.33e-06,"BMI","F001"
"cg01359236",-0.000276479,8.14e-05,0.000679592,0.00079423,"BMI","F001"
"cg01368219",0.000575733,0.000104971,4.14e-08,1.25e-07,"BMI","F001"
"cg01406381",-0.000340883,6.78e-05,5.04e-07,1.12e-06,"BMI","F001"
"cg01411912",-0.000490499,9.06e-05,6.07e-08,1.76e-07,"BMI","F001"
"cg01419713",-0.000329091,9.25e-05,0.000372345,0.000447671,"BMI","F001"
"cg01419914",0.000925623,0.000136749,1.3e-11,1.14e-10,"BMI","F001"
"cg01468420",0.000272396,6.55e-05,3.19e-05,4.62e-05,"BMI","F001"
"cg01492538",0.000344889,8e-05,1.64e-05,2.54e-05,"BMI","F001"
"cg01510278",-0.000233971,4.11e-05,1.22e-08,4.13e-08,"BMI","F001"
"cg01581222",0.000284263,6.72e-05,2.37e-05,3.55e-05,"BMI","F001"
"cg01671681",-0.000684475,0.000114214,2.06e-09,8.94e-09,"BMI","F001"
"cg01676795",0.000820017,0.000111125,1.59e-13,2.47e-12,"BMI","F001"
"cg01678580",0.000295479,4.58e-05,1.06e-10,7.14e-10,"BMI","F001"
"cg01681367",-0.000188833,5.08e-05,0.000200376,0.000251271,"BMI","F001"
"cg01681525",0.00090206,0.000146343,7.09e-10,3.62e-09,"BMI","F001"
"cg01741041",0.0005391,7.14e-05,4.5e-14,8.05e-13,"BMI","F001"
"cg01765641",0.000543616,0.000103676,1.58e-07,4.04e-07,"BMI","F001"
"cg01798813",0.000224465,4.73e-05,2.06e-06,3.91e-06,"BMI","F001"
"cg01818539",0.000219809,3.38e-05,7.44e-11,5.24e-10,"BMI","F001"
"cg01877352",0.000277626,7.54e-05,0.000229493,0.000284934,"BMI","F001"
