"","CpG","Beta","SE","P","FDR","Trait","threshold"
"1","cg00882322",0.002061733,0.00044514,3.63e-06,0.074072802,"ACETOCHLOR","P1E5"
"2","cg00919585",-0.002025675,0.000377268,7.9e-08,0.009951597,"ACETOCHLOR","P1E5"
"3","cg01020413",-0.008168715,0.001844003,9.43e-06,0.118718539,"ACETOCHLOR","P1E5"
"4","cg01035015",-0.00397945,0.000844293,2.44e-06,0.057891222,"ACETOCHLOR","P1E5"
"5","cg02098075",0.059928587,0.013428969,8.1e-06,0.11326452,"ACETOCHLOR","P1E5"
"6","cg03688995",0.008011917,0.001699111,2.41e-06,0.057891222,"ACETOCHLOR","P1E5"
"7","cg04108706",0.017024387,0.003093236,3.72e-08,0.00702234,"ACETOCHLOR","P1E5"
"8","cg04155280",0.004720954,0.001004921,2.63e-06,0.058423896,"ACETOCHLOR","P1E5"
"9","cg04158862",0.00481288,0.001089196,9.93e-06,0.119284104,"ACETOCHLOR","P1E5"
"10","cg07155014",0.006206107,0.001302701,1.9e-06,0.057891222,"ACETOCHLOR","P1E5"
"11","cg07489121",0.026616826,0.005458261,1.08e-06,0.046176936,"ACETOCHLOR","P1E5"
"12","cg08165462",0.012694364,0.002240665,1.47e-08,0.004452228,"ACETOCHLOR","P1E5"
"13","cg10252897",0.008450344,0.001555526,5.56e-08,0.008398068,"ACETOCHLOR","P1E5"
"14","cg10280383",0.001699028,0.000334909,3.91e-07,0.021119454,"ACETOCHLOR","P1E5"
"15","cg11306441",-0.001728807,0.000371138,3.19e-06,0.068879924,"ACETOCHLOR","P1E5"
"16","cg11887721",-0.002545616,0.000563795,6.33e-06,0.097557115,"ACETOCHLOR","P1E5"
"17","cg11907448",0.003730027,0.000786083,2.08e-06,0.057891222,"ACETOCHLOR","P1E5"
"18","cg12971338",-0.002963758,0.00065114,5.32e-06,0.088566672,"ACETOCHLOR","P1E5"
"19","cg17840355",0.005039178,0.000984668,3.09e-07,0.017979218,"ACETOCHLOR","P1E5"
"20","cg18147865",0.000825026,0.000184278,7.57e-06,0.107867149,"ACETOCHLOR","P1E5"
"21","cg18677834",0.018418246,0.003536174,1.9e-07,0.014380706,"ACETOCHLOR","P1E5"
"22","cg18935832",0.007319879,0.001496687,1e-06,0.046176936,"ACETOCHLOR","P1E5"
"23","cg19166347",-0.001717802,0.000364462,2.44e-06,0.057891222,"ACETOCHLOR","P1E5"
"24","cg20241658",-0.002122407,0.000441991,1.57e-06,0.053965215,"ACETOCHLOR","P1E5"
"25","cg22049753",0.006084721,0.001366021,8.42e-06,0.113528953,"ACETOCHLOR","P1E5"
"26","cg22060621",0.00562165,0.001260982,8.27e-06,0.113528953,"ACETOCHLOR","P1E5"
"27","cg23196630",0.007516324,0.001640623,4.62e-06,0.083087503,"ACETOCHLOR","P1E5"
"28","cg24410391",0.003064518,0.000688779,8.62e-06,0.114236813,"ACETOCHLOR","P1E5"
"29","cg25093409",0.002314177,0.000513234,6.51e-06,0.098411139,"ACETOCHLOR","P1E5"
"30","cg27417294",-0.003606245,0.000789735,4.96e-06,0.087176238,"ACETOCHLOR","P1E5"
"31","cg18181703",0.0038,5e-04,2e-12,NA,"AHEI","P1E5"
"32","cg16969872",0.0032,5e-04,3e-09,NA,"AHEI","P1E5"
"33","cg27118035",-0.0028,5e-04,4.9e-09,NA,"AHEI","P1E5"
"34","cg25953130",0.0044,8e-04,1.2e-08,NA,"AHEI","P1E5"
"35","cg16936953",0.0042,7e-04,1.5e-08,NA,"AHEI","P1E5"
"36","cg03190891",-0.0025,5e-04,9e-08,NA,"AHEI","P1E5"
"37","cg08884571",-0.0042,8e-04,4.6e-07,NA,"AHEI","P1E5"
"38","cg25909064",0.0018,4e-04,8e-07,NA,"AHEI","P1E5"
"39","cg19202384",0.0019,4e-04,9.9e-07,NA,"AHEI","P1E5"
"40","cg01294327",0.0049,0.001,1.4e-06,NA,"AHEI","P1E5"
"41","cg11468085",-0.0022,5e-04,1.4e-06,NA,"AHEI","P1E5"
"42","cg11250194",0.0025,5e-04,1.5e-06,NA,"AHEI","P1E5"
"43","cg03646329",0.0034,7e-04,1.5e-06,NA,"AHEI","P1E5"
"44","cg24735226",-0.0037,8e-04,1.6e-06,NA,"AHEI","P1E5"
"45","cg02959282",0.0024,5e-04,1.8e-06,NA,"AHEI","P1E5"
"46","cg19157853",-0.0016,3e-04,2.3e-06,NA,"AHEI","P1E5"
"47","cg26470501",0.0019,4e-04,2.4e-06,NA,"AHEI","P1E5"
"48","cg02508743",-0.0024,5e-04,2.5e-06,NA,"AHEI","P1E5"
"49","cg09940677",-0.0014,3e-04,2.9e-06,NA,"AHEI","P1E5"
"50","cg07805029",0.0027,6e-04,3.1e-06,NA,"AHEI","P1E5"
"51","cg02583484",-0.000394498,4.36e-05,1.5e-19,NA,"Alcohol","P1E5"
"52","cg13729116",-0.000178244,2.07e-05,6.52e-18,NA,"Alcohol","P1E5"
"53","cg05593667",-0.000252447,3.09e-05,4.44e-16,NA,"Alcohol","P1E5"
"54","cg15253293",-0.000140199,1.75e-05,1.11e-15,NA,"Alcohol","P1E5"
"55","cg21626848",-0.000226796,2.87e-05,3.11e-15,NA,"Alcohol","P1E5"
"56","cg03523740",-0.000216633,2.76e-05,4.44e-15,NA,"Alcohol","P1E5"
"57","cg11194994",-0.000171208,2.2e-05,7.33e-15,NA,"Alcohol","P1E5"
