"","CpG","Beta","SE","P","FDR","Trait","threshold"
"1","cg00882322",0.002061733,0.00044514,3.63e-06,0.074072802,"ACETOCHLOR","F01"
"2","cg00919585",-0.002025675,0.000377268,7.9e-08,0.009951597,"ACETOCHLOR","F01"
"3","cg01035015",-0.00397945,0.000844293,2.44e-06,0.057891222,"ACETOCHLOR","F01"
"4","cg03688995",0.008011917,0.001699111,2.41e-06,0.057891222,"ACETOCHLOR","F01"
"5","cg04108706",0.017024387,0.003093236,3.72e-08,0.00702234,"ACETOCHLOR","F01"
"6","cg04155280",0.004720954,0.001004921,2.63e-06,0.058423896,"ACETOCHLOR","F01"
"7","cg07155014",0.006206107,0.001302701,1.9e-06,0.057891222,"ACETOCHLOR","F01"
"8","cg07489121",0.026616826,0.005458261,1.08e-06,0.046176936,"ACETOCHLOR","F01"
"9","cg08165462",0.012694364,0.002240665,1.47e-08,0.004452228,"ACETOCHLOR","F01"
"10","cg10252897",0.008450344,0.001555526,5.56e-08,0.008398068,"ACETOCHLOR","F01"
"11","cg10280383",0.001699028,0.000334909,3.91e-07,0.021119454,"ACETOCHLOR","F01"
"12","cg11306441",-0.001728807,0.000371138,3.19e-06,0.068879924,"ACETOCHLOR","F01"
"13","cg11887721",-0.002545616,0.000563795,6.33e-06,0.097557115,"ACETOCHLOR","F01"
"14","cg11907448",0.003730027,0.000786083,2.08e-06,0.057891222,"ACETOCHLOR","F01"
"15","cg12971338",-0.002963758,0.00065114,5.32e-06,0.088566672,"ACETOCHLOR","F01"
"16","cg17840355",0.005039178,0.000984668,3.09e-07,0.017979218,"ACETOCHLOR","F01"
"17","cg18677834",0.018418246,0.003536174,1.9e-07,0.014380706,"ACETOCHLOR","F01"
"18","cg18935832",0.007319879,0.001496687,1e-06,0.046176936,"ACETOCHLOR","F01"
"19","cg19166347",-0.001717802,0.000364462,2.44e-06,0.057891222,"ACETOCHLOR","F01"
"20","cg20241658",-0.002122407,0.000441991,1.57e-06,0.053965215,"ACETOCHLOR","F01"
"21","cg23196630",0.007516324,0.001640623,4.62e-06,0.083087503,"ACETOCHLOR","F01"
"22","cg25093409",0.002314177,0.000513234,6.51e-06,0.098411139,"ACETOCHLOR","F01"
"23","cg27417294",-0.003606245,0.000789735,4.96e-06,0.087176238,"ACETOCHLOR","F01"
"40","cg00200734",0.016084986,0.00351531,4.75e-06,0.074705578,"HEPTACHLOR","F01"
"41","cg01885291",-0.001319451,0.000281822,2.84e-06,0.07266779,"HEPTACHLOR","F01"
"42","cg01949684",-0.00325276,0.000690438,2.46e-06,0.07266779,"HEPTACHLOR","F01"
"43","cg02584161",-0.026883106,0.005913376,5.46e-06,0.079377942,"HEPTACHLOR","F01"
"44","cg02713153",-0.00262883,0.000593022,9.3e-06,0.096203025,"HEPTACHLOR","F01"
